ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
1,1,dúnáⁿ,guestorstranger-None,false,expert,Hantgan2018,,,
2,2,yīī tūwⁿɔ̀,guestorstranger-None,false,expert,Hantgan2018,,,
3,3,ǹdòsú-m,guestorstranger-None,false,expert,Hantgan2018,,,
4,4,lò:sú-m,guestorstranger-None,false,expert,Hantgan2018,,,
5,5,dó:njì,guestorstranger-None,false,expert,Hantgan2018,,,
6,6,koɗɗo,guestorstranger-None,false,expert,Hantgan2018,,,
7,7,yérí-n,guestorstranger-None,false,expert,Hantgan2018,,,
8,8,súmū,guestorstranger-None,false,expert,Hantgan2018,,,
9,9,gìlà gílí,guestorstranger-None,false,expert,Hantgan2018,,,
10,10,bèmbǎ:,guestorstranger-None,false,expert,Hantgan2018,,,
11,11,lò:sí,guestorstranger-None,false,expert,Hantgan2018,,,
12,12,bì:mbà,guestorstranger-None,false,expert,Hantgan2018,,,
13,13,lò:sú-n,guestorstranger-None,false,expert,Hantgan2018,,,
14,14,yòwòó,guestorstranger-None,false,expert,Hantgan2018,,,
15,15,yòwò,guestorstranger-None,false,expert,Hantgan2018,,,
16,16,lògò-dé:,guestorstranger-None,false,expert,Hantgan2018,,,
17,17,bí:má,guestorstranger-None,false,expert,Hantgan2018,,,
18,18,yéríⁿ,guestorstranger-None,false,expert,Hantgan2018,,,
19,19,yòùnjì-nɛ́,guestorstranger-None,false,expert,Hantgan2018,,,
20,20,lòsù-rⁿu,guestorstranger-None,false,expert,Hantgan2018,,,
21,21,nò nò:zù,guestorstranger-None,false,expert,Hantgan2018,,,
22,22,yér-nɛ́,guestorstranger-None,false,expert,Hantgan2018,,,
23,23,ɡwìì,age-None,false,expert,Hantgan2018,,,
24,24,pɛ́,age-None,false,expert,Hantgan2018,,,
25,25,pɛ́,age-None,false,expert,Hantgan2018,,,
26,26,kɛ̀mnɔ̀ kánì,age-None,false,expert,Hantgan2018,,,
27,27,naywu-de,age-None,false,expert,Hantgan2018,,,
28,28,pɛ́:ⁿ,age-None,false,expert,Hantgan2018,,,
29,29,ká:nú kánì,age-None,false,expert,Hantgan2018,,,
30,30,kúnjɛ́,age-None,false,expert,Hantgan2018,,,
31,31,pɛ́:,age-None,false,expert,Hantgan2018,,,
32,32,ká:mnɔ́ kán,age-None,false,expert,Hantgan2018,,,
33,33,pɛ́:,age-None,false,expert,Hantgan2018,,,
34,34,zé:n,age-None,false,expert,Hantgan2018,,,
35,35,zé:n,age-None,false,expert,Hantgan2018,,,
36,36,pɛ́,age-None,false,expert,Hantgan2018,,,
37,37,kúnjó,age-None,false,expert,Hantgan2018,,,
38,38,pɛ́:ⁿ,age-None,false,expert,Hantgan2018,,,
39,39,pɛ́ɛ́ⁿ,age-None,false,expert,Hantgan2018,,,
40,40,yɔ̌w,age-None,false,expert,Hantgan2018,,,
