"ID","NUMBER","ENGLISH","CONCEPTICON_ID","CONCEPTICON_GLOSS"
"Hantgan-2018-300-1",1,"GUEST OR STRANGER",2908,"GUEST OR STRANGER"
"Hantgan-2018-300-2",2,"AGE",1789,"AGE"
"Hantgan-2018-300-3",3,"ANIMAL",619,"ANIMAL"
"Hantgan-2018-300-4",4,"ANSWER",1275,"ANSWER"
"Hantgan-2018-300-5",5,"ARMPIT",1886,"ARMPIT"
"Hantgan-2018-300-6",6,"ARRIVE",1387,"ARRIVE"
"Hantgan-2018-300-7",7,"ASH",646,"ASH"
"Hantgan-2018-300-8",8,"BACK",1291,"BACK"
"Hantgan-2018-300-9",9,"BAD",1292,"BAD"
"Hantgan-2018-300-10",10,"BARK",1204,"BARK"
"Hantgan-2018-300-11",11,"BEARD",678,"BEARD"
"Hantgan-2018-300-12",12,"BEAUTIFUL",1427,"BEAUTIFUL"
"Hantgan-2018-300-13",13,"BEGIN",1806,"BEGIN"
"Hantgan-2018-300-14",14,"BELLY",1251,"BELLY"
"Hantgan-2018-300-15",15,"BESIDE",1816,"BESIDE"
"Hantgan-2018-300-16",16,"BETRAY",1902,"BETRAY"
"Hantgan-2018-300-17",17,"BIG",1202,"BIG"
"Hantgan-2018-300-18",18,"BIRD",937,"BIRD"
"Hantgan-2018-300-19",19,"BITE",1403,"BITE"
"Hantgan-2018-300-20",20,"BITTER",887,"BITTER"
"Hantgan-2018-300-21",21,"BLACKSMITH",1001,"BLACKSMITH"
"Hantgan-2018-300-22",22,"BLANKET",806,"BLANKET"
"Hantgan-2018-300-23",23,"BLINK",1655,"BLINK"
"Hantgan-2018-300-24",24,"BLOOD",946,"BLOOD"
"Hantgan-2018-300-25",25,"BODY",1480,"BODY"
"Hantgan-2018-300-26",26,"BONE",1394,"BONE"
"Hantgan-2018-300-27",27,"BREAKFAST",1322,"BREAKFAST"
"Hantgan-2018-300-28",28,"BREAST",1402,"BREAST"
"Hantgan-2018-300-29",29,"BREATHE",1407,"BREATHE"
"Hantgan-2018-300-30",30,"BROOM",245,"BROOM"
"Hantgan-2018-300-31",31,"BUILD",1840,"BUILD"
"Hantgan-2018-300-32",32,"BURN (SOMETHING)",141,"BURN (SOMETHING)"
"Hantgan-2018-300-33",33,"BURY",1719,"BURY"
"Hantgan-2018-300-34",34,"BUY",1869,"BUY"
"Hantgan-2018-300-35",35,"CALL",1084,"CALL"
"Hantgan-2018-300-36",36,"CAMEL",1871,"CAMEL"
"Hantgan-2018-300-37",37,"CARRY ON HEAD",414,"CARRY ON HEAD"
"Hantgan-2018-300-38",38,"CARVE",228,"CARVE"
"Hantgan-2018-300-39",39,"CASSAVA",925,"CASSAVA"
"Hantgan-2018-300-40",40,"CAT",1208,"CAT"
"Hantgan-2018-300-41",41,"CAVE",1155,"CAVE"
"Hantgan-2018-300-42",42,"CHEEK",1730,"CHEEK"
"Hantgan-2018-300-43",43,"CHEST",1592,"CHEST"
"Hantgan-2018-300-44",44,"CHICKEN",1318,"CHICKEN"
"Hantgan-2018-300-45",45,"CHIEFTAIN",301,"CHIEFTAIN"
"Hantgan-2018-300-46",46,"CHILD",2099,"CHILD"
"Hantgan-2018-300-47",47,"CHIN",1510,"CHIN"
"Hantgan-2018-300-48",48,"CLOUD",1489,"CLOUD"
"Hantgan-2018-300-49",49,"COLD",1287,"COLD"
"Hantgan-2018-300-50",50,"COME",1446,"COME"
"Hantgan-2018-300-51",51,"COME BACK",581,"COME BACK"
"Hantgan-2018-300-52",52,"COTTON",1850,"COTTON"
"Hantgan-2018-300-53",53,"COUNT",1420,"COUNT"
"Hantgan-2018-300-54",54,"COUNTRY",1300,"COUNTRY"
"Hantgan-2018-300-55",55,"COW",1007,"COW"
"Hantgan-2018-300-56",56,"CRY",1839,"CRY"
"Hantgan-2018-300-57",57,"DEW",1977,"DEW"
"Hantgan-2018-300-58",58,"DIE",1494,"DIE"
"Hantgan-2018-300-59",59,"DIG",1418,"DIG"
"Hantgan-2018-300-60",60,"DISEASE",1986,"DISEASE"
"Hantgan-2018-300-61",61,"DIVIDE",1119,"DIVIDE"
"Hantgan-2018-300-62",62,"DOG",2009,"DOG"
"Hantgan-2018-300-63",63,"DONKEY",1862,"DONKEY"
"Hantgan-2018-300-64",64,"DOOR",1567,"DOOR"
"Hantgan-2018-300-65",65,"DOVE",1853,"DOVE"
"Hantgan-2018-300-66",66,"DRINK",1401,"DRINK"
"Hantgan-2018-300-67",67,"DRIP (FALL IN GLOBULES)",808,"DRIP (FALL IN GLOBULES)"
"Hantgan-2018-300-68",68,"DRY",1398,"DRY"
"Hantgan-2018-300-69",69,"DUST",2,"DUST"
"Hantgan-2018-300-70",70,"EAR",1247,"EAR"
"Hantgan-2018-300-71",71,"EAT",1336,"EAT"
"Hantgan-2018-300-72",72,"EGG",744,"EGG"
"Hantgan-2018-300-73",73,"EIGHT",1705,"EIGHT"
"Hantgan-2018-300-74",74,"ELBOW",981,"ELBOW"
"Hantgan-2018-300-75",75,"ELEPHANT",1290,"ELEPHANT"
"Hantgan-2018-300-76",76,"EMPTY",1624,"EMPTY"
"Hantgan-2018-300-77",77,"ENTER",749,"ENTER"
"Hantgan-2018-300-78",78,"EYE",1248,"EYE"
"Hantgan-2018-300-79",79,"FACE",1560,"FACE"
"Hantgan-2018-300-80",80,"FALL",1280,"FALL"
"Hantgan-2018-300-81",81,"FAR",1406,"FAR"
"Hantgan-2018-300-82",82,"FAST",1631,"FAST"
"Hantgan-2018-300-83",83,"FAT (OBESE)",1279,"FAT (OBESE)"
"Hantgan-2018-300-84",84,"FAT (ORGANIC SUBSTANCE)",323,"FAT (ORGANIC SUBSTANCE)"
"Hantgan-2018-300-85",85,"FATHER",1217,"FATHER"
"Hantgan-2018-300-86",86,"FEAR (BE AFRAID)",1419,"FEAR (BE AFRAID)"
"Hantgan-2018-300-87",87,"FIGHT",1423,"FIGHT"
"Hantgan-2018-300-88",88,"FIND",719,"FIND"
"Hantgan-2018-300-89",89,"FINGER",1303,"FINGER"
"Hantgan-2018-300-90",90,"FIRE",221,"FIRE"
"Hantgan-2018-300-91",91,"FIREWOOD",10,"FIREWOOD"
"Hantgan-2018-300-92",92,"FISH",227,"FISH"
"Hantgan-2018-300-93",93,"FIVE",493,"FIVE"
"Hantgan-2018-300-94",94,"FLOWER",239,"FLOWER"
"Hantgan-2018-300-95",95,"FLY (INSECT)",1504,"FLY (INSECT)"
"Hantgan-2018-300-96",96,"FLY (MOVE THROUGH AIR)",1441,"FLY (MOVE THROUGH AIR)"
"Hantgan-2018-300-97",97,"FOAM",1768,"FOAM"
"Hantgan-2018-300-98",98,"FOLD",1470,"FOLD"
"Hantgan-2018-300-99",99,"FOOD",256,"FOOD"
"Hantgan-2018-300-100",100,"FOOT OR LEG",2098,"FOOT OR LEG"
"Hantgan-2018-300-101",101,"FOREHEAD",123,"FOREHEAD"
"Hantgan-2018-300-102",102,"FORGET",1523,"FORGET"
"Hantgan-2018-300-103",103,"FORGIVE",1528,"FORGIVE"
"Hantgan-2018-300-104",104,"FOUR",1500,"FOUR"
"Hantgan-2018-300-105",105,"FRIEND",1325,"FRIEND"
"Hantgan-2018-300-106",106,"FULL",1429,"FULL"
"Hantgan-2018-300-107",107,"GET",694,"GET"
"Hantgan-2018-300-108",108,"GIVE",1447,"GIVE"
"Hantgan-2018-300-109",109,"GIVE BIRTH",1195,"GIVE BIRTH"
"Hantgan-2018-300-110",110,"GO",695,"GO"
"Hantgan-2018-300-111",111,"GO DOWN (DESCEND)",2014,"GO DOWN (DESCEND)"
"Hantgan-2018-300-112",112,"GO OUT",1107,"GO OUT"
"Hantgan-2018-300-113",113,"GO UP (ASCEND)",705,"GO UP (ASCEND)"
"Hantgan-2018-300-114",114,"GOAT",1502,"GOAT"
"Hantgan-2018-300-115",115,"GOD",1944,"GOD"
"Hantgan-2018-300-116",116,"GOLD",1369,"GOLD"
"Hantgan-2018-300-117",117,"GOOD",1035,"GOOD"
"Hantgan-2018-300-118",118,"GRANDFATHER",1383,"GRANDFATHER"
"Hantgan-2018-300-119",119,"GRASS",606,"GRASS"
"Hantgan-2018-300-120",120,"HAIR",1040,"HAIR"
"Hantgan-2018-300-121",121,"HAND",1277,"HAND"
"Hantgan-2018-300-122",122,"HANG UP",357,"HANG UP"
"Hantgan-2018-300-123",123,"HEAD",1256,"HEAD"
"Hantgan-2018-300-124",124,"HEAVY",1210,"HEAVY"
"Hantgan-2018-300-125",125,"HELP",1897,"HELP"
"Hantgan-2018-300-126",126,"HIDE (CONCEAL)",602,"HIDE (CONCEAL)"
"Hantgan-2018-300-127",127,"HIP",1745,"HIP"
"Hantgan-2018-300-128",128,"HONEY",942,"HONEY"
"Hantgan-2018-300-129",129,"HORN (ANATOMY)",1393,"HORN (ANATOMY)"
"Hantgan-2018-300-130",130,"HORSE",615,"HORSE"
"Hantgan-2018-300-131",131,"HOST",1545,"HOST"
"Hantgan-2018-300-132",132,"HOT",1286,"HOT"
"Hantgan-2018-300-133",133,"HUNDRED",1634,"HUNDRED"
"Hantgan-2018-300-134",134,"HUNT",1435,"HUNT"
"Hantgan-2018-300-135",135,"HUSBAND",1200,"HUSBAND"
"Hantgan-2018-300-136",136,"INJURE",44,"INJURE"
"Hantgan-2018-300-137",137,"IRON",621,"IRON"
"Hantgan-2018-300-138",138,"JAW",798,"JAW"
"Hantgan-2018-300-139",139,"JOINT",999,"JOINT"
"Hantgan-2018-300-140",140,"KILL",1417,"KILL"
"Hantgan-2018-300-141",141,"KNEE",1371,"KNEE"
"Hantgan-2018-300-142",142,"KNEEL",66,"KNEEL"
"Hantgan-2018-300-143",143,"KNIFE",1352,"KNIFE"
"Hantgan-2018-300-144",144,"LADDER",1464,"LADDER"
"Hantgan-2018-300-145",145,"LAUGH",1355,"LAUGH"
"Hantgan-2018-300-146",146,"LEAF",628,"LEAF"
"Hantgan-2018-300-147",147,"LEAVE",1752,"LEAVE"
"Hantgan-2018-300-148",148,"LEFT",244,"LEFT"
"Hantgan-2018-300-149",149,"LICK",319,"LICK"
"Hantgan-2018-300-150",150,"LIE DOWN",215,"LIE DOWN"
"Hantgan-2018-300-151",151,"LIFT",501,"LIFT"
"Hantgan-2018-300-152",152,"LIGHT (WEIGHT)",1052,"LIGHT (WEIGHT)"
"Hantgan-2018-300-153",153,"LIMP",366,"LIMP"
"Hantgan-2018-300-154",154,"LION",1386,"LION"
"Hantgan-2018-300-155",155,"LOOK",1819,"LOOK"
"Hantgan-2018-300-156",156,"LOOK FOR",1468,"LOOK FOR"
"Hantgan-2018-300-157",157,"LOUSE",1392,"LOUSE"
"Hantgan-2018-300-158",158,"LUNG",688,"LUNG"
"Hantgan-2018-300-159",159,"MAIZE",506,"MAIZE"
"Hantgan-2018-300-160",160,"MAN",1554,"MAN"
"Hantgan-2018-300-161",161,"MARKET",633,"MARKET"
"Hantgan-2018-300-162",162,"MARROW",1835,"MARROW"
"Hantgan-2018-300-163",163,"MAT",195,"MAT"
"Hantgan-2018-300-164",164,"MEAL",1526,"MEAL"
"Hantgan-2018-300-165",165,"MEAT",634,"MEAT"
"Hantgan-2018-300-166",166,"MEDICINE",1372,"MEDICINE"
"Hantgan-2018-300-167",167,"MILK",635,"MILK"
"Hantgan-2018-300-168",168,"MILLET",931,"MILLET"
"Hantgan-2018-300-169",169,"MONEY",1559,"MONEY"
"Hantgan-2018-300-170",170,"MOON",1313,"MOON"
"Hantgan-2018-300-171",171,"MOSQUE",1603,"MOSQUE"
"Hantgan-2018-300-172",172,"MOTHER",1216,"MOTHER"
"Hantgan-2018-300-173",173,"MOUSE",1491,"MOUSE"
"Hantgan-2018-300-174",174,"MOUTH",674,"MOUTH"
"Hantgan-2018-300-175",175,"NAME",1405,"NAME"
"Hantgan-2018-300-176",176,"NEAR",1942,"NEAR"
"Hantgan-2018-300-177",177,"NECK",1333,"NECK"
"Hantgan-2018-300-178",178,"NEW",1231,"NEW"
"Hantgan-2018-300-179",179,"NIGHT",1233,"NIGHT"
"Hantgan-2018-300-180",180,"NINE",1483,"NINE"
"Hantgan-2018-300-181",181,"NOBLE",482,"NOBLE"
"Hantgan-2018-300-182",182,"NOSE",1221,"NOSE"
"Hantgan-2018-300-183",183,"NOW",1376,"NOW"
"Hantgan-2018-300-184",184,"NURSE",1104,"NURSE"
"Hantgan-2018-300-185",185,"OLD",1229,"OLD"
"Hantgan-2018-300-186",186,"ONE",1493,"ONE"
"Hantgan-2018-300-187",187,"ONION",2366,"ONION"
"Hantgan-2018-300-188",188,"OPEN",1156,"OPEN"
"Hantgan-2018-300-189",189,"ORPHAN",1149,"ORPHAN"
"Hantgan-2018-300-190",190,"PATH OR ROAD",2457,"PATH OR ROAD"
"Hantgan-2018-300-191",191,"PENIS",1222,"PENIS"
"Hantgan-2018-300-192",192,"PERSON",683,"PERSON"
"Hantgan-2018-300-193",193,"PESTLE",225,"PESTLE"
"Hantgan-2018-300-194",194,"PICK",2148,"PICK"
"Hantgan-2018-300-195",195,"PIG",1337,"PIG"
"Hantgan-2018-300-196",196,"PISS",592,"PISS"
"Hantgan-2018-300-197",197,"PLACE (POSITION)",723,"PLACE (POSITION)"
"Hantgan-2018-300-198",198,"POCKET",1851,"POCKET"
"Hantgan-2018-300-199",199,"PRICE",657,"PRICE"
"Hantgan-2018-300-200",200,"PULL",1455,"PULL"
"Hantgan-2018-300-201",201,"PUMPKIN",864,"PUMPKIN"
"Hantgan-2018-300-202",202,"PUSH",1452,"PUSH"
"Hantgan-2018-300-203",203,"RAIN (PRECIPITATION)",658,"RAIN (PRECIPITATION)"
"Hantgan-2018-300-204",204,"RAW",1959,"RAW"
"Hantgan-2018-300-205",205,"RED",156,"RED"
"Hantgan-2018-300-206",206,"RIB",801,"RIB"
"Hantgan-2018-300-207",207,"RIGHT",1019,"RIGHT"
"Hantgan-2018-300-208",208,"RIVER",666,"RIVER"
"Hantgan-2018-300-209",209,"ROOF",769,"ROOF"
"Hantgan-2018-300-210",210,"ROOT",670,"ROOT"
"Hantgan-2018-300-211",211,"ROTTEN",1728,"ROTTEN"
"Hantgan-2018-300-212",212,"ROUGH",1923,"ROUGH"
"Hantgan-2018-300-213",213,"RUN",1519,"RUN"
"Hantgan-2018-300-214",214,"SALT",1274,"SALT"
"Hantgan-2018-300-215",215,"SAND",671,"SAND"
"Hantgan-2018-300-216",216,"SAY",1458,"SAY"
"Hantgan-2018-300-217",217,"SCALE",266,"SCALE"
"Hantgan-2018-300-218",218,"SEE",1409,"SEE"
"Hantgan-2018-300-219",219,"SELL",1571,"SELL"
"Hantgan-2018-300-220",220,"SEND",1127,"SEND"
"Hantgan-2018-300-221",221,"SEVEN",1704,"SEVEN"
"Hantgan-2018-300-222",222,"SEW",1457,"SEW"
"Hantgan-2018-300-223",223,"SHARP",1396,"SHARP"
"Hantgan-2018-300-224",224,"SHEEP",1331,"SHEEP"
"Hantgan-2018-300-225",225,"SHIT (DEFECATE)",676,"SHIT (DEFECATE)"
"Hantgan-2018-300-226",226,"SHOE",1381,"SHOE"
"Hantgan-2018-300-227",227,"SHORT",1645,"SHORT"
"Hantgan-2018-300-228",228,"SHOW",1039,"SHOW"
"Hantgan-2018-300-229",229,"SICKLE OR SCYTHE",2132,"SICKLE OR SCYTHE"
"Hantgan-2018-300-230",230,"SIMILAR",1558,"SIMILAR"
"Hantgan-2018-300-231",231,"SING",1261,"SING"
"Hantgan-2018-300-232",232,"SIT",1416,"SIT"
"Hantgan-2018-300-233",233,"SIX",1703,"SIX"
"Hantgan-2018-300-234",234,"SKIN",763,"SKIN"
"Hantgan-2018-300-235",235,"SKY",1732,"SKY"
"Hantgan-2018-300-236",236,"SLAVE",812,"SLAVE"
"Hantgan-2018-300-237",237,"SLEEP",1585,"SLEEP"
"Hantgan-2018-300-238",238,"SLIP",1324,"SLIP"
"Hantgan-2018-300-239",239,"SMALL",1246,"SMALL"
"Hantgan-2018-300-240",240,"SMOKE",,"SMOKE"
"Hantgan-2018-300-241",241,"SMOOTH",1234,"SMOOTH"
"Hantgan-2018-300-242",242,"SNAKE",730,"SNAKE"
"Hantgan-2018-300-243",243,"SOAP",788,"SOAP"
"Hantgan-2018-300-244",244,"SONG",1096,"SONG"
"Hantgan-2018-300-245",245,"SPEAR",945,"SPEAR"
"Hantgan-2018-300-246",246,"SPIN",121,"SPIN"
"Hantgan-2018-300-247",247,"SPIRIT",53,"SPIRIT"
"Hantgan-2018-300-248",248,"SPIT",1440,"SPIT"
"Hantgan-2018-300-249",249,"SPRING OR WELL",2144,"SPRING OR WELL"
"Hantgan-2018-300-250",250,"STAR",1430,"STAR"
"Hantgan-2018-300-251",251,"STEAL",713,"STEAL"
"Hantgan-2018-300-252",252,"STOMACH",819,"STOMACH"
"Hantgan-2018-300-253",253,"STRIKE OR BEAT",2133,"STRIKE OR BEAT"
"Hantgan-2018-300-254",254,"SUCK",1421,"SUCK"
"Hantgan-2018-300-255",255,"SUN",1343,"SUN"
"Hantgan-2018-300-256",256,"SWALLOW",897,"SWALLOW"
"Hantgan-2018-300-257",257,"SWEEP",230,"SWEEP"
"Hantgan-2018-300-258",258,"SWEET",717,"SWEET"
"Hantgan-2018-300-259",259,"SWIM",1439,"SWIM"
"Hantgan-2018-300-260",260,"TAIL",1220,"TAIL"
"Hantgan-2018-300-261",261,"TALK",2708,"TALK"
"Hantgan-2018-300-262",262,"TEN",1515,"TEN"
"Hantgan-2018-300-263",263,"TESTICLES",797,"TESTICLES"
"Hantgan-2018-300-264",264,"THIGH",800,"THIGH"
"Hantgan-2018-300-265",265,"THING",738,"THING"
"Hantgan-2018-300-266",266,"THINK",2271,"THINK"
"Hantgan-2018-300-267",267,"THORN",124,"THORN"
"Hantgan-2018-300-268",268,"THREE",492,"THREE"
"Hantgan-2018-300-269",269,"THROAT",1346,"THROAT"
"Hantgan-2018-300-270",270,"THROW",1456,"THROW"
"Hantgan-2018-300-271",271,"TIE",1917,"TIE"
"Hantgan-2018-300-272",272,"TOMORROW",1329,"TOMORROW"
"Hantgan-2018-300-273",273,"TONGS",272,"TONGS"
"Hantgan-2018-300-274",274,"TONGUE",1205,"TONGUE"
"Hantgan-2018-300-275",275,"TOOTH",1380,"TOOTH"
"Hantgan-2018-300-276",276,"TOUCH",1892,"TOUCH"
"Hantgan-2018-300-277",277,"TRAP (PITFALL)",1075,"TRAP (PITFALL)"
"Hantgan-2018-300-278",278,"TRAVERSE",1742,"TRAVERSE"
"Hantgan-2018-300-279",279,"TREE",906,"TREE"
"Hantgan-2018-300-280",280,"TWENTY",1710,"TWENTY"
"Hantgan-2018-300-281",281,"TWO",1498,"TWO"
"Hantgan-2018-300-282",282,"URINE",1142,"URINE"
"Hantgan-2018-300-283",283,"VAGINA",1836,"VAGINA"
"Hantgan-2018-300-284",284,"VILLAGE",930,"VILLAGE"
"Hantgan-2018-300-285",285,"WALL (OF HOUSE)",933,"WALL (OF HOUSE)"
"Hantgan-2018-300-286",286,"WATER",948,"WATER"
"Hantgan-2018-300-287",287,"WEAVE",133,"WEAVE"
"Hantgan-2018-300-288",288,"WEEK",1469,"WEEK"
"Hantgan-2018-300-289",289,"WET",1726,"WET"
"Hantgan-2018-300-290",290,"WHITE",1335,"WHITE"
"Hantgan-2018-300-291",291,"WIFE",1199,"WIFE"
"Hantgan-2018-300-292",292,"WIND",960,"WIND"
"Hantgan-2018-300-293",293,"WING",1257,"WING"
"Hantgan-2018-300-294",294,"WOMAN",962,"WOMAN"
"Hantgan-2018-300-295",295,"WOOD",1803,"WOOD"
