ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan
15-1-59,,15,1,bàrⁿí-yⁿà,bàrⁿí-yⁿà,b a ¹ r̃ ∼ i ⁵ + j ∼ a ¹,,Heath2015,,
16-1-58,,16,1,nàndà,nàndà,n a ¹ n d a ¹,,Heath2015,,
17-1-58,,17,1,nàná,nàná,n a ¹ n a ⁵,,Heath2015,,
2-1-45,,2,1,nɔ́ⁿ,nɔ́ⁿ,n ɔ̃ ⁵ ∼,,Dumestre2011,,
1-1-61,,1,1,dɛ̀ɛ̀-rɛ̀,dɛ̀ɛ̀-rɛ̀,d ɛː ¹ + r ɛ ¹,,Hantgan2016,,
3-1-59,,3,1,dɛ̌:,dɛ̌:,d ɛː ¹⁵,,Heath2015,,
4-1-57,,4,1,dɛ̀gɛ́,dɛ̀gɛ́,d ɛ ¹ ɡ ɛ ⁵,,Heath2015,,
5-1-58,,5,1,dɛ́lɛ̀,dɛ́lɛ̀,d ɛ ⁵ l ɛ ¹,,Heath2015,,
18-1-56,,18,1,mettaa-de,mettaa-de,m e t t a a + d e,,Osborn1993,,
6-1-61,,6,1,dɛ̀gɛ́,dɛ̀gɛ́,d ɛ ¹ ɡ ɛ ⁵,,Heath2015,,
7-1-57,,7,1,nɛ́lɛ́,nɛ́lɛ́,n ɛ ⁵ l ɛ ⁵,,Heath2015,,
8-1-58,,8,1,nɛ́gɛ́,nɛ́gɛ́,n ɛ ⁵ ɡ ɛ ⁵,,Heath2015,,
9-1-61,,9,1,dɛ̀gɛ́,dɛ̀gɛ́,d ɛ ¹ ɡ ɛ ⁵,,Heath2015,,
20-1-55,,20,1,dɛ̀gɛ́,dɛ̀gɛ́,d ɛ ¹ ɡ ɛ ⁵,,Heath2015,,
10-1-60,,10,1,dɛ̀gɛ́,dɛ̀gɛ́,d ɛ ¹ ɡ ɛ ⁵,,Heath2015,,
21-1-54,,21,1,lów,lów,l o ⁵ w,,Heath2005,,
22-1-53,,22,1,ló:gú,ló:gú,l oː ⁵ ɡ u ⁵,,HeathSONG2015,,
11-1-61,,11,1,dɛ̀gɛ́,dɛ̀gɛ́,d ɛ ¹ ɡ ɛ ⁵,,Heath2015,,
12-1-60,,12,1,nɛ́lɔ́,nɛ́lɔ́,n ɛ ⁵ l ɔ ⁵,,Heath2015,,
13-1-57,,13,1,dɛ̀gɛ́,dɛ̀gɛ́,d ɛ ¹ ɡ ɛ ⁵,,Heath2015,,
14-1-61,,14,1,dɛ̀gɛ́,dɛ̀gɛ́,d ɛ ¹ ɡ ɛ ⁵,,Heath2015,,
15-1-60,,15,1,dɛ̀gú,dɛ̀gú,d ɛ ¹ ɡ u ⁵,,Heath2015,,
16-1-59,,16,1,dɛ̀gɛ́,dɛ̀gɛ́,d ɛ ¹ ɡ ɛ ⁵,,Heath2015,,
17-1-59,,17,1,dɛ̀gɛ́,dɛ̀gɛ́,d ɛ ¹ ɡ ɛ ⁵,,Heath2015,,
2-1-46,,2,1,nogu,nogu,n o ɡ u,,Dumestre2011,,
1-1-62,,1,1,tūrù,tūrù,t u ³ r u ¹,,Hantgan2016,,
3-1-60,,3,1,bìyé,bìyé,b i ¹ j e ⁵,,Heath2015,,
4-1-58,,4,1,bìyé,bìyé,b i ¹ j e ⁵,,Heath2015,,
5-1-59,,5,1,bí:yè,bí:yè,b iː ⁵ j e ¹,,Heath2015,,
18-1-57,,18,1,leelaa-de,leelaa-de,l e e l a a + d e,,Osborn1993,,
6-1-62,,6,1,ìɲé,ìɲé,i ¹ ɲ e ⁵,,Heath2015,,
19-1-50,,19,1,sāgā,sāgā,s a ³ ɡ a ³,,Heath2016jenaama,,
7-1-58,,7,1,bí:yè,bí:yè,b iː ⁵ j e ¹,,Heath2015,,
8-1-59,,8,1,bǐy,bǐy,b i ¹⁵ j,,Heath2015,,
9-1-62,,9,1,bìyé,bìyé,b i ¹ j e ⁵,,Heath2015,,
20-1-56,,20,1,bíyé,bíyé,b i ⁵ j e ⁵,,Heath2015,,
10-1-61,,10,1,ìnjé,ìnjé,i ¹ n dʒ e ⁵,,Heath2015,,
21-1-55,,21,1,kán,kán,k a ⁵ n,,Heath2005,,
22-1-54,,22,1,kání,kání,k a ⁵ n i ⁵,,HeathSONG2015,,
11-1-62,,11,1,bě,bě,b e ¹⁵,,Heath2015,,
12-1-61,,12,1,bí-yó,bí-yó,b i ⁵ + j o ⁵,,Heath2015,,
13-1-58,,13,1,ìmú ìmî:,ìmú ìmî:,i ¹ m u ⁵ _ i ¹ m iː ⁵¹,,Heath2015,,
14-1-62,,14,1,ǹjó ǹjíyó,ǹjó ǹjíyó,n ¹ dʒ o ⁵ _ n ¹ dʒ i ⁵ j o ⁵,,Heath2015,,
15-1-61,,15,1,ìsú,ìsú,i ¹ s u ⁵,,Heath2015,,
16-1-60,,16,1,bì-yó,bì-yó,b i ¹ + j o ⁵,,Heath2015,,
17-1-60,,17,1,dǐ:ⁿ,dǐ:ⁿ,d ĩː ¹⁵ ∼,,Heath2015,,
1-1-63,,1,1,pùɡɛ̀-rɛ̀,pùɡɛ̀-rɛ̀,p u ¹ ɡ ɛ ¹ + r ɛ ¹,,Hantgan2016,,
3-1-61,,3,1,zɛ́,zɛ́,z ɛ ⁵,,Heath2015,,
4-1-59,,4,1,àyí,àyí,a ¹ j i ⁵,,Heath2015,,
5-1-60,,5,1,dúgɛ̀,dúgɛ̀,d u ⁵ ɡ ɛ ¹,,Heath2015,,
18-1-58,,18,1,huncu-de,huncu-de,h u n tʃ u + d e,,Osborn1993,,
6-1-63,,6,1,jɛ̀ɲɛ́,jɛ̀ɲɛ́,dʒ ɛ ¹ ɲ ɛ ⁵,,Heath2015,,
7-1-59,,7,1,gɛ́ŋg-yɛ́,gɛ́ŋg-yɛ́,ɡ ɛ ⁵ ŋ ɡ + j ɛ ⁵,,Heath2015,,
8-1-60,,8,1,jɛ̀njɛ́,jɛ̀njɛ́,dʒ ɛ ¹ n dʒ ɛ ⁵,,Heath2015,,
9-1-63,,9,1,àyí,àyí,a ¹ j i ⁵,,Heath2015,,
20-1-57,,20,1,nɛ́mɛ́,nɛ́mɛ́,n ɛ ⁵ m ɛ ⁵,,Heath2015,,
10-1-62,,10,1,yɛ̀ŋgɛ́,yɛ̀ŋgɛ́,j ɛ ¹ ŋ ɡ ɛ ⁵,,Heath2015,,
22-1-55,,22,1,tún-éyndí,tún-éyndí,t u ⁵ n + e ⁵ j n d i ⁵,,HeathSONG2015,,
21-1-56,,21,1,sámbú,sámbú,s a ⁵ m b u ⁵,,Heath2005,,
11-1-63,,11,1,ɲǎ:,ɲǎ:,ɲ aː ¹⁵,,Heath2015,,
12-1-62,,12,1,tɔ́gɔ́,tɔ́gɔ́,t ɔ ⁵ ɡ ɔ ⁵,,Heath2015,,
13-1-59,,13,1,ɲàŋá,ɲàŋá,ɲ a ¹ ŋ a ⁵,,Heath2015,,
14-1-63,,14,1,jèɲɲé,jèɲɲé,dʒ e ¹ ɲ ɲ e ⁵,,Heath2015,,
15-1-62,,15,1,só,só,s o ⁵,,Heath2015,,
16-1-61,,16,1,tógó,tógó,t o ⁵ ɡ o ⁵,,Heath2015,,
17-1-61,,17,1,gèɲɛ́,gèɲɛ́,ɡ e ¹ ɲ ɛ ⁵,,Heath2015,,
2-1-47,,2,1,fɛ́gɛ́ⁿ,fɛ́gɛ́ⁿ,f ɛ ⁵ ɡ ɛ ⁵ ∼,,Dumestre2011,,
1-1-64,,1,1,péɡé péɡè,péɡé péɡè,p e ⁵ ɡ e ⁵ _ p e ⁵ ɡ e ¹,,Hantgan2016,,
3-1-62,,3,1,yɛ́mbɛ̀,yɛ́mbɛ̀,j ɛ ⁵ m b ɛ ¹,,Heath2015,,
4-1-60,,4,1,ɲɛ̀rⁿú,ɲɛ̀rⁿú,ɲ ɛ ¹ r̃ ∼ u ⁵,,Heath2015,,
5-1-61,,5,1,yàw yàw,yàw yàw,j a ¹ w _ j a ¹ w,,Heath2015,,
18-1-59,,18,1,hoy-de,hoy-de,h o j + d e,,Osborn1993,,
6-1-64,,6,1,ɲɛ́n,ɲɛ́n,ɲ ɛ ⁵ n,,Heath2015,,
19-1-51,,19,1,pélú-gù,pélú-gù,p e ⁵ l u ⁵ + ɡ u ¹,,Heath2016jenaama,,
7-1-60,,7,1,yáw yáw kánní,yáw yáw kánní,j a ⁵ w _ j a ⁵ w _ k a ⁵ n n i ⁵,,Heath2015,,
8-1-61,,8,1,yɛ̀rí-yè,yɛ̀rí-yè,j ɛ ¹ r i ⁵ + j e ¹,,Heath2015,,
9-1-64,,9,1,ɛ́rⁿî,ɛ́rⁿî,ɛ ⁵ r̃ ∼ i ⁵¹,,Heath2015,,
20-1-58,,20,1,yáw yáw,yáw yáw,j a ⁵ w _ j a ⁵ w,,Heath2015,,
10-1-63,,10,1,ɲɛ́rⁿú,ɲɛ́rⁿú,ɲ ɛ ⁵ r̃ ∼ u ⁵,,Heath2015,,
22-1-56,,22,1,dò:n,dò:n,d oː ¹ n,,HeathSONG2015,,
12-1-63,,12,1,né:ŋgó-rá,né:ŋgó-rá,n eː ⁵ ŋ ɡ o ⁵ + r a ⁵,,Heath2015,,
13-1-60,,13,1,ɲɛ́rⁿú,ɲɛ́rⁿú,ɲ ɛ ⁵ r̃ ∼ u ⁵,,Heath2015,,
14-1-64,,14,1,wɛ́y,wɛ́y,w ɛ ⁵ j,,Heath2015,,
15-1-63,,15,1,ɛ́rú,ɛ́rú,ɛ ⁵ r u ⁵,,Heath2015,,
16-1-62,,16,1,ɛ̀n,ɛ̀n,ɛ ¹ n,,Heath2015,,
17-1-62,,17,1,yóló,yóló,j o ⁵ l o ⁵,,Heath2015,,
2-1-48,,2,1,cúⁿ,cúⁿ,tʃ ũ ⁵ ∼,,Dumestre2011,,
1-1-65,,1,1,sèŋè-ndà,sèŋè-ndà,s e ¹ ŋ e ¹ + n d a ¹,,Hantgan2016,,
3-1-63,,3,1,tí:rⁿí,tí:rⁿí,t iː ⁵ r̃ ∼ i ⁵,,Heath2015,,
5-1-62,,5,1,tíŋó-jè,tíŋó-jè,t i ⁵ ŋ o ⁵ + dʒ e ¹,,Heath2015,,
18-1-60,,18,1,laʄu-de,laʄu-de,l a ʄ u + d e,,Osborn1993,,
6-1-65,,6,1,kɔ́: tégé,kɔ́: tégé,k ɔː _ t e ⁵ ɡ e ⁵,,Heath2015,,
7-1-61,,7,1,tégé,tégé,t e ⁵ ɡ e ⁵,,Heath2015,,
8-1-62,,8,1,téŋgí,téŋgí,t e ⁵ ŋ ɡ i ⁵,,Heath2015,,
9-1-65,,9,1,tégé,tégé,t e ⁵ ɡ e ⁵,,Heath2015,,
