PATTERN	Atlantic	Bangime	Dogon	Mande	Songhai	Examples	COGID
Dogon:1 Mande:1	0	0	1	1	0	31	1 94 171 333 409 536 799 968 1239 1385 1477 1714 1771 1910 1948 2177 2206 2450 2489 2573 2675 2933 3159 3442 3462 3679 3917 4093 4207 4285 4487	!GUEST OR STRANGER, ARRIVE, BEAUTIFUL, BLANKET, BONE, CALL, COUNTRY, DOVE, FAST, FIRE, FOAM, GO UP (ASCEND), GOOD, HIDE (CONCEAL), HONEY, LADDER, LEAF, MARROW, MEAL, MONEY, NEAR, PESTLE, ROTTEN, SICKLE OR SCYTHE, SIMILAR, SPEAR, TAIL, TOMORROW, TREE, WALL (OF HOUSE), YELLOW
Bangime:1	0	1	0	0	0	122	2 22 41 59 76 242 289 327 342 383 400 416 438 451 473 485 504 523 630 695 747 775 790 831 840 923 947 962 1134 1151 1169 1190 1226 1240 1307 1358 1379 1406 1438 1448 1491 1504 1523 1553 1590 1610 1666 1708 1772 1787 1817 1885 1988 2055 2101 2118 2200 2219 2246 2259 2280 2327 2432 2445 2490 2536 2553 2567 2600 2762 2783 2797 2842 2880 2895 2913 2927 2962 2999 3036 3053 3072 3084 3143 3160 3175 3207 3225 3242 3304 3324 3379 3463 3524 3530 3552 3571 3644 3673 3691 3740 3794 3829 3857 3892 3911 3942 3955 3972 4069 4081 4130 4142 4173 4186 4204 4305 4379 4391 4433 4450 4488	!GUEST OR STRANGER, AGE, ANIMAL, ANSWER, ARMPIT, BETRAY, BITE, BLANKET, BLINK, BLUNT, BODY, BREAKFAST, BREATHE, BROOM, BUILD, BURN (SOMETHING), BURY, BUY, CAVE, CHILD, COLD, COME BACK, COTTON, CRY, DEW, DOG, DOOR, DOVE, EMPTY, ENTER, EYE, FACE, FAR, FAST, FEAR (BE AFRAID), FINGER, FIRE, FISH, FLOWER, FLY (INSECT), FOLD, FOOD, FOOT OR LEG, FORGET, FRIEND, FULL, GO, GO UP (ASCEND), GOOD, GRANDFATHER, HAIR, HEAVY, HOT, IRON, KILL, KNEE, LEAF, LEAVE, LICK, LIE DOWN, LIFT, LION, MAN, MARKET, MEAL, MILK, MILLET, MONEY, MOSQUE, NOSE, NURSE, OLD, OPEN, PATH OR ROAD, PENIS, PERSON, PESTLE, PISS, POCKET, PUMPKIN, RAIN (PRECIPITATION), RED, RIB, ROOT, ROTTEN, ROUGH, SALT, SAND, SAY, SEND, SEW, SHIT (DEFECATE), SIMILAR, SKIN, SKY, SLEEP, SLIP, SOAP, SPEAR, SPIN, SPRING OR WELL, STOMACH, SUN, SWEEP, SWIM, TAIL, TEN, TESTICLES, THIGH, THROW, TIE, TONGUE, TOOTH, TRAP (PITFALL), TRAVERSE, TREE, WATER, WIFE, WIND, WOOD, WRAPPER, YELLOW
Dogon:1	0	0	1	0	0	486	3 9 18 19 21 39 44 48 49 57 64 75 102 115 120 136 139 141 144 145 152 163 169 188 207 212 214 220 223 228 237 240 255 267 274 278 285 286 313 324 330 334 343 360 382 391 399 407 418 423 443 454 465 467 471 492 493 501 503 521 533 549 551 581 591 592 602 603 612 615 617 623 628 637 643 648 652 655 656 657 666 685 692 720 729 731 736 743 789 798 813 814 839 843 849 866 894 922 924 937 938 943 945 946 964 972 973 996 1007 1017 1037 1038 1040 1074 1111 1118 1128 1139 1149 1167 1188 1206 1217 1224 1248 1255 1258 1260 1266 1277 1287 1306 1314 1317 1321 1326 1337 1339 1341 1345 1357 1376 1378 1399 1421 1423 1446 1451 1459 1464 1479 1486 1487 1505 1506 1507 1522 1524 1531 1538 1554 1568 1591 1606 1607 1608 1627 1636 1643 1668 1675 1682 1703 1717 1723 1726 1731 1741 1743 1754 1757 1785 1800 1814 1816 1846 1871 1881 1887 1892 1898 1902 1929 1930 1940 1947 1953 1975 1978 1986 1995 2013 2014 2031 2035 2053 2069 2076 2077 2084 2100 2104 2107 2116 2134 2143 2153 2168 2184 2191 2201 2208 2217 2222 2226 2275 2276 2277 2279 2286 2290 2295 2302 2307 2309 2312 2330 2337 2344 2353 2355 2362 2363 2379 2383 2392 2405 2411 2413 2414 2418 2424 2443 2467 2486 2488 2493 2504 2506 2535 2552 2582 2591 2598 2614 2620 2626 2632 2648 2662 2672 2676 2688 2702 2705 2741 2745 2777 2782 2796 2799 2807 2813 2822 2832 2837 2843 2848 2852 2859 2868 2875 2878 2888 2894 2896 2911 2915 2935 2941 2942 2963 2978 2979 2989 2997 3010 3034 3035 3039 3041 3055 3056 3061 3081 3086 3087 3090 3093 3100 3101 3106 3111 3114 3117 3125 3129 3141 3146 3151 3158 3165 3205 3210 3223 3233 3240 3247 3255 3258 3261 3272 3287 3302 3319 3340 3341 3344 3347 3352 3353 3361 3362 3364 3367 3372 3383 3384 3406 3428 3460 3461 3468 3470 3473 3475 3487 3494 3498 3505 3508 3538 3541 3561 3566 3567 3568 3570 3574 3582 3583 3584 3589 3595 3617 3631 3633 3640 3642 3680 3688 3689 3698 3703 3707 3718 3721 3723 3724 3728 3738 3745 3746 3748 3750 3755 3773 3778 3781 3782 3792 3795 3805 3809 3810 3812 3822 3844 3860 3864 3865 3867 3894 3895 3897 3909 3921 3931 3934 3938 3945 3970 3976 3985 4003 4006 4008 4021 4058 4061 4068 4079 4084 4111 4121 4128 4133 4151 4156 4175 4179 4181 4188 4193 4195 4202 4235 4253 4254 4280 4295 4308 4313 4326 4329 4330 4338 4344 4345 4346 4363 4368 4374 4377 4380 4398 4419 4452 4453 4455 4461 4464 4465 4467 4486 4504	!GUEST OR STRANGER, !GUEST OR STRANGER, !GUEST OR STRANGER, !GUEST OR STRANGER, !GUEST OR STRANGER, AGE, ANIMAL, ANIMAL, ANIMAL, ANIMAL, ANSWER, ANSWER, ASH, BACK, BACK, BAD, BAD, BAD, BARK, BARK, BARK, BEARD, BEARD, BEAUTIFUL, BELLY, BELLY, BELLY, BELLY, BESIDE, BESIDE, BESIDE, BESIDE, BETRAY, BIG, BIG, BIRD, BIRD, BIRD, BLACKSMITH, BLACKSMITH, BLANKET, BLANKET, BLINK, BLINK, BLOOD, BLUNT, BLUNT, BODY, BREAKFAST, BREAKFAST, BREATHE, BROOM, BROOM, BROOM, BROOM, BURN (SOMETHING), BURN (SOMETHING), BURN (SOMETHING), BURN (SOMETHING), BURY, BUY, CALL, CALL, CARVE, CARVE, CARVE, CASSAVA, CASSAVA, CASSAVA, CAT, CAT, CAT, CAT, CAVE, CHEEK, CHEEK, CHEEK, CHEEK, CHEEK, CHEEK, CHICKEN, CHIEFTAIN, CHIEFTAIN, CHIN, CLOUD, CLOUD, CLOUD, CLOUD, COME BACK, COTTON, COUNTRY, COUNTRY, CRY, DEW, DEW, DIE, DISEASE, DIVIDE, DOG, DONKEY, DONKEY, DONKEY, DONKEY, DONKEY, DOVE, DOVE, DOVE, DRIP (FALL IN GLOBULES), DRIP (FALL IN GLOBULES), DRY, DUST, DUST, DUST, EAT, ELBOW, ELBOW, ELEPHANT, EMPTY, EMPTY, ENTER, EYE, FACE, FALL, FALL, FAST, FAST, FAST, FAT (OBESE), FAT (OBESE), FAT (OBESE), FAT (ORGANIC SUBSTANCE), FATHER, FEAR (BE AFRAID), FEAR (BE AFRAID), FEAR (BE AFRAID), FIGHT, FIGHT, FIGHT, FIGHT, FIND, FIND, FINGER, FINGER, FIRE, FISH, FISH, FLOWER, FLY (INSECT), FLY (INSECT), FLY (INSECT), FOAM, FOAM, FOAM, FOOD, FOOD, FOOD, FOOD, FOOT OR LEG, FOOT OR LEG, FOOT OR LEG, FORGET, FORGET, FRIEND, FRIEND, FRIEND, FRIEND, FULL, GET, GET, GO, GO, GO DOWN (DESCEND), GO OUT, GO UP (ASCEND), GO UP (ASCEND), GO UP (ASCEND), GOAT, GOD, GOD, GOD, GOD, GOOD, GRANDFATHER, GRASS, GRASS, HAND, HEAD, HEAR, HEAVY, HEAVY, HEAVY, HELP, HIP, HIP, HIP, HONEY, HONEY, HOST, HOST, HOST, HOT, HUNDRED, HUNDRED, HUSBAND, HUSBAND, INJURE, JAW, JAW, JAW, JAW, JOINT, KILL, KILL, KILL, KNEE, KNEEL, KNEEL, KNIFE, LADDER, LAUGH, LEAF, LEAF, LEAF, LEAVE, LEAVE, LIE DOWN, LIE DOWN, LIE DOWN, LIE DOWN, LIFT, LIFT, LIGHT (WEIGHT), LIGHT (WEIGHT), LIGHT (WEIGHT), LIGHT (WEIGHT), LIGHT (WEIGHT), LION, LION, LION, LOOK, LOOK, LOOK, LOOK, LOOK FOR, LOOK FOR, LOUSE, LUNG, LUNG, LUNG, LUNG, MAIZE, MAIZE, MAN, MARROW, MAT, MAT, MEAL, MEAL, MEAL, MEDICINE, MILK, MONEY, MOON, MOON, MOTHER, MOTHER, MOUSE, MOUSE, MOUTH, NAME, NAME, NEAR, NECK, NECK, NECK, NINE, NOBLE, NOW, NOW, NURSE, OLD, OLD, OLD, ONE, ONION, ONION, OPEN, OPEN, OPEN, OPEN, ORPHAN, ORPHAN, ORPHAN, PATH OR ROAD, PATH OR ROAD, PENIS, PENIS, PERSON, PESTLE, PESTLE, PESTLE, PISS, PISS, PISS, PLACE (POSITION), PLACE (POSITION), POCKET, PULL, PULL, PUMPKIN, PUMPKIN, RAIN (PRECIPITATION), RAIN (PRECIPITATION), RAIN (PRECIPITATION), RED, RIB, RIB, RIB, RIB, RIB, RIB, RIGHT, RIGHT, RIVER, RIVER, RIVER, ROOF, ROOF, ROOT, ROOT, ROOT, ROTTEN, RUN, SALT, SALT, SAND, SAND, SAY, SAY, SAY, SCALE, SCALE, SEE, SELL, SEVEN, SEW, SEW, SEW, SHARP, SHARP, SHARP, SHARP, SHARP, SHARP, SHEEP, SHEEP, SHIT (DEFECATE), SHIT (DEFECATE), SHOE, SHORT, SICKLE OR SCYTHE, SICKLE OR SCYTHE, SIMILAR, SIMILAR, SIMILAR, SIMILAR, SING, SIT, SIT, SIT, SIT, SKY, SKY, SLEEP, SLEEP, SLEEP, SLEEP, SLEEP, SLIP, SMALL, SMALL, SMALL, SMALL, SMALL, SMOOTH, SNAKE, SNAKE, SNAKE, SNAKE, SPEAR, SPEAR, SPEAR, SPIN, SPIN, SPIN, SPIRIT, SPIRIT, SPIRIT, SPIRIT, SPIT, SPIT, SPRING OR WELL, SPRING OR WELL, SPRING OR WELL, SPRING OR WELL, SPRING OR WELL, STAR, STEAL, STEAL, STEAL, STEAL, STOMACH, STOMACH, STRIKE OR BEAT, STRIKE OR BEAT, STRIKE OR BEAT, SUCK, SUN, SWEEP, SWEEP, SWEEP, SWEEP, SWIM, SWIM, SWIM, SWIM, TAIL, TALK, TALK, TALK, TEN, TESTICLES, THIGH, THIGH, THING, THINK, THINK, THINK, THROAT, THROAT, THROAT, THROW, TIE, TOMORROW, TONGS, TONGS, TONGUE, TOOTH, TOOTH, TRAP (PITFALL), TRAP (PITFALL), TRAP (PITFALL), TRAVERSE, TRAVERSE, TRAVERSE, TRAVERSE, TWO, URINE, URINE, VILLAGE, WALL (OF HOUSE), WATER, WATER, WEAVE, WEEK, WEEK, WEEK, WEEK, WEEK, WEEK, WET, WHITE, WHITE, WHITE, WIFE, WIND, WING, WRAPPER, WRAPPER, WRAPPER, WRAPPER, WRAPPER, WRAPPER, WRAPPER, YEAR, YELLOW
Dogon:5	0	0	5	0	0	36	4 259 347 363 563 580 763 776 778 1212 1280 1312 1359 1404 1555 1773 1874 1878 2102 2103 2296 2430 2556 2659 2769 2985 3180 3388 3618 3732 3765 3898 3928 3991 4395 4451	!GUEST OR STRANGER, BIG, BLINK, BLOOD, CARRY ON HEAD, CARVE, COME, COME BACK, COME BACK, FALL, FAT (ORGANIC SUBSTANCE), FEAR (BE AFRAID), FINGER, FIREWOOD, FORGET, GOOD, HEAR, HEAR, KILL, KILL, LIGHT (WEIGHT), MAIZE, MILLET, NAME, NOW, PLACE (POSITION), ROUGH, SHIT (DEFECATE), SMOOTH, SPIT, STAR, SWIM, TALK, THING, WIND, WRAPPER
Atlantic:1	1	0	0	0	0	244	6 26 79 92 116 126 159 176 194 208 260 280 292 299 314 331 345 366 386 414 442 455 477 489 508 527 541 579 618 634 642 663 669 699 717 732 751 766 779 804 820 835 844 863 876 890 909 927 940 951 966 980 995 1013 1046 1060 1080 1094 1107 1123 1155 1173 1194 1211 1230 1244 1263 1283 1295 1311 1327 1346 1362 1383 1405 1410 1429 1442 1452 1470 1482 1495 1508 1527 1557 1574 1594 1614 1633 1649 1655 1670 1683 1697 1712 1732 1744 1775 1791 1805 1821 1834 1851 1864 1888 1903 1946 1959 1967 1991 2020 2072 2088 2122 2141 2159 2175 2190 2204 2223 2250 2263 2284 2298 2317 2331 2350 2369 2388 2401 2420 2473 2494 2512 2526 2540 2557 2571 2588 2615 2625 2644 2658 2677 2710 2717 2731 2766 2772 2787 2818 2845 2865 2884 2898 2931 2950 2966 2984 3002 3016 3022 3057 3075 3088 3107 3147 3164 3178 3211 3229 3246 3263 3277 3296 3320 3328 3349 3369 3382 3395 3412 3434 3447 3466 3481 3495 3514 3534 3550 3555 3575 3585 3613 3627 3664 3677 3713 3729 3742 3761 3779 3820 3833 3849 3861 3877 3896 3915 3929 3946 3975 3990 4009 4055 4073 4085 4117 4134 4146 4162 4177 4190 4208 4217 4225 4240 4258 4276 4290 4309 4323 4332 4351 4371 4382 4394 4408 4424 4437 4442 4454 4472 4492	!GUEST OR STRANGER, AGE, ARMPIT, ARRIVE, BACK, BAD, BEARD, BEAUTIFUL, BEGIN, BELLY, BIG, BIRD, BITE, BITTER, BLACKSMITH, BLANKET, BLINK, BLOOD, BLUNT, BONE, BREATHE, BROOM, BUILD, BURN (SOMETHING), BURY, BUY, CALL, CARVE, CAT, CAVE, CHEEK, CHEST, CHICKEN, CHILD, CHIN, CLOUD, COLD, COME, COME BACK, COUNTRY, COW, CRY, DEW, DIE, DIG, DISEASE, DIVIDE, DOG, DONKEY, DOOR, DOVE, DRINK, DRIP (FALL IN GLOBULES), DRY, EAR, EAT, EGG, EIGHT, ELBOW, ELEPHANT, ENTER, EYE, FACE, FALL, FAR, FAST, FAT (OBESE), FAT (ORGANIC SUBSTANCE), FATHER, FEAR (BE AFRAID), FIGHT, FIND, FINGER, FIRE, FIREWOOD, FISH, FIVE, FLOWER, FLY (INSECT), FLY (MOVE THROUGH AIR), FOAM, FOLD, FOOD, FOOT OR LEG, FORGET, FORGIVE, FRIEND, FULL, GET, GIVE, GIVE BIRTH, GO, GO DOWN (DESCEND), GO OUT, GO UP (ASCEND), GOAT, GOD, GOOD, GRANDFATHER, GRASS, HAIR, HAND, HANG UP, HEAD, HEAVY, HELP, HONEY, HORN (ANATOMY), HORSE, HOT, HUSBAND, JAW, JOINT, KNEE, KNEEL, KNIFE, LADDER, LAUGH, LEAF, LEAVE, LICK, LIE DOWN, LIFT, LIGHT (WEIGHT), LIMP, LION, LOOK, LOOK FOR, LOUSE, LUNG, MAIZE, MAT, MEAL, MEAT, MEDICINE, MILK, MILLET, MONEY, MOON, MOTHER, MOUSE, MOUTH, NAME, NEAR, NEW, NIGHT, NINE, NOSE, NOW, NURSE, ONE, OPEN, ORPHAN, PATH OR ROAD, PENIS, PESTLE, PICK, PISS, PLACE (POSITION), POCKET, PRICE, PULL, RAIN (PRECIPITATION), RED, RIB, RIGHT, ROOT, ROTTEN, ROUGH, SALT, SAND, SAY, SCALE, SEE, SELL, SEVEN, SEW, SHARP, SHEEP, SHIT (DEFECATE), SHOE, SHORT, SHOW, SICKLE OR SCYTHE, SIMILAR, SING, SIT, SIX, SKY, SLAVE, SLEEP, SLIP, SMALL, SMOOTH, SNAKE, SONG, SPEAR, SPIRIT, SPIT, SPRING OR WELL, STAR, STEAL, SUCK, SUN, SWALLOW, SWEEP, SWEET, SWIM, TAIL, TALK, TEN, THIGH, THING, THINK, THROAT, THROW, TIE, TONGS, TONGUE, TOOTH, TOUCH, TRAP (PITFALL), TRAVERSE, TREE, TWENTY, TWO, URINE, VAGINA, VILLAGE, WALL (OF HOUSE), WATER, WEAVE, WEEK, WET, WHITE, WIFE, WIND, WING, WOMAN, WOOD, WORK (LABOUR), WRAPPER, YEAR, YELLOW
Dogon:2	0	0	2	0	0	211	7 29 56 111 148 153 156 164 175 201 231 257 264 291 326 329 351 401 403 408 427 456 488 491 526 531 633 640 661 693 698 701 702 711 712 716 725 735 745 755 757 764 783 801 805 841 845 848 850 857 877 895 912 931 932 952 963 965 1012 1083 1110 1137 1166 1227 1296 1308 1309 1465 1469 1476 1509 1512 1540 1551 1571 1595 1613 1665 1788 1865 1868 1912 1918 1956 1977 1985 1989 2001 2003 2005 2042 2063 2086 2123 2126 2135 2169 2202 2235 2236 2274 2281 2282 2322 2368 2372 2385 2419 2434 2436 2472 2503 2525 2530 2537 2558 2570 2587 2606 2622 2628 2629 2630 2638 2641 2642 2678 2681 2693 2735 2748 2751 2760 2798 2821 2862 2864 2867 2874 2901 2914 2930 2932 2934 2960 3060 3070 3091 3110 3118 3124 3135 3148 3174 3208 3262 3264 3269 3271 3278 3280 3290 3295 3309 3317 3323 3355 3368 3413 3433 3445 3527 3544 3548 3587 3588 3612 3624 3626 3628 3630 3632 3650 3659 3726 3836 3872 3891 3927 3941 3989 4013 4059 4122 4131 4161 4192 4238 4261 4270 4289 4303 4365 4383 4389 4392 4397 4399 4425 4469 4476	!GUEST OR STRANGER, AGE, ANIMAL, ASH, BARK, BARK, BEARD, BEARD, BEAUTIFUL, BEGIN, BESIDE, BIG, BIG, BITE, BLACKSMITH, BLANKET, BLINK, BODY, BODY, BODY, BREAST, BROOM, BURN (SOMETHING), BURN (SOMETHING), BUY, BUY, CAVE, CHEEK, CHEST, CHIEFTAIN, CHILD, CHILD, CHILD, CHILD, CHILD, CHIN, CHIN, CLOUD, CLOUD, COLD, COLD, COME, COME BACK, COUNTRY, COUNTRY, DEW, DEW, DEW, DEW, DEW, DIG, DISEASE, DIVIDE, DOG, DOG, DOOR, DOVE, DOVE, DRY, EGG, ELBOW, EMPTY, ENTER, FAR, FATHER, FEAR (BE AFRAID), FEAR (BE AFRAID), FLY (INSECT), FLY (MOVE THROUGH AIR), FLY (MOVE THROUGH AIR), FOOD, FOOD, FOOT OR LEG, FOREHEAD, FORGIVE, FRIEND, FULL, GIVE BIRTH, GRANDFATHER, HEAD, HEAD, HIDE (CONCEAL), HIDE (CONCEAL), HORN (ANATOMY), HOST, HOST, HOT, HOT, HOT, HOT, INJURE, IRON, JOINT, KNEE, KNEE, KNEE, KNIFE, LEAF, LEFT, LEFT, LIE DOWN, LIFT, LIFT, LIMP, LOOK FOR, LOOK FOR, LOUSE, MAIZE, MAN, MAN, MAT, MEAL, MEDICINE, MEDICINE, MILK, MILLET, MONEY, MOON, MOSQUE, MOUSE, MOUSE, MOUSE, MOUSE, MOUSE, MOUTH, MOUTH, NEAR, NEAR, NECK, NINE, NOBLE, NOBLE, NOBLE, OLD, ONE, ORPHAN, ORPHAN, ORPHAN, ORPHAN, PENIS, PERSON, PESTLE, PESTLE, PESTLE, PIG, RAIN (PRECIPITATION), RAW, RIB, RIGHT, RIVER, RIVER, ROOF, ROOT, ROTTEN, SALT, SCALE, SCALE, SCALE, SCALE, SEE, SEE, SEE, SELL, SEND, SEVEN, SEVEN, SHARP, SHEEP, SHORT, SHOW, SICKLE OR SCYTHE, SKIN, SKY, SLAVE, SMALL, SMALL, SMOOTH, SNAKE, SNAKE, SNAKE, SNAKE, SNAKE, SOAP, SOAP, SPIT, SUN, SWEEP, SWEET, TALK, TALK, THING, THINK, THROAT, TONGS, TONGUE, TOUCH, TRAVERSE, URINE, VAGINA, VAGINA, WALL (OF HOUSE), WALL (OF HOUSE), WET, WIFE, WIFE, WIND, WIND, WIND, WOMAN, YEAR, YEAR
Mande:1	0	0	0	1	0	205	8 40 58 81 100 121 142 178 196 210 282 294 301 309 406 430 450 457 479 543 620 629 644 681 746 753 768 781 815 846 858 865 892 929 935 942 961 1048 1082 1109 1133 1140 1168 1175 1213 1225 1232 1246 1278 1313 1364 1400 1412 1424 1431 1447 1454 1466 1503 1510 1541 1548 1559 1582 1589 1596 1616 1657 1672 1685 1793 1801 1823 1836 1866 1884 1890 1961 1969 1971 1993 2015 2036 2043 2054 2060 2067 2090 2124 2185 2192 2199 2232 2245 2258 2265 2293 2333 2345 2364 2371 2415 2422 2431 2435 2444 2496 2507 2514 2542 2559 2566 2583 2611 2639 2646 2653 2660 2673 2713 2719 2726 2733 2820 2833 2841 2847 2860 2879 2886 2900 2912 2926 2945 2956 2961 3018 3059 3071 3077 3102 3116 3126 3149 3166 3186 3193 3241 3279 3315 3322 3351 3378 3390 3397 3407 3414 3429 3435 3476 3483 3490 3497 3509 3516 3523 3536 3551 3557 3596 3608 3615 3666 3690 3708 3739 3756 3763 3806 3835 3863 3910 3925 3948 3961 3992 4004 4022 4027 4037 4044 4080 4087 4119 4136 4157 4164 4212 4219 4334 4353 4378 4384 4396 4426	!GUEST OR STRANGER, ANIMAL, ANSWER, ARMPIT, ASH, BAD, BARK, BEAUTIFUL, BEGIN, BELLY, BIRD, BITE, BITTER, BLACKSMITH, BODY, BREAST, BROOM, BROOM, BUILD, CALL, CAT, CAVE, CHEEK, CHIEFTAIN, COLD, COLD, COME, COME BACK, COW, DEW, DIE, DIE, DISEASE, DOG, DONKEY, DONKEY, DOVE, EAR, EGG, ELBOW, EMPTY, EMPTY, EYE, EYE, FALL, FAR, FAR, FAST, FAT (ORGANIC SUBSTANCE), FEAR (BE AFRAID), FINGER, FIREWOOD, FISH, FIVE, FIVE, FLY (INSECT), FLY (INSECT), FLY (MOVE THROUGH AIR), FOOD, FOOD, FOREHEAD, FOREHEAD, FORGET, FOUR, FRIEND, FRIEND, FULL, GIVE BIRTH, GO, GO DOWN (DESCEND), GRANDFATHER, GRASS, HAIR, HAND, HEAD, HEAVY, HEAVY, HORN (ANATOMY), HORSE, HOST, HOT, HUSBAND, INJURE, INJURE, IRON, IRON, JAW, JOINT, KNEE, LAUGH, LAUGH, LEAF, LEFT, LICK, LIE DOWN, LIE DOWN, LIGHT (WEIGHT), LION, LOOK, LOOK FOR, LOOK FOR, MAIZE, MAIZE, MAN, MAN, MARKET, MEAL, MEAT, MEAT, MILK, MILLET, MONEY, MOON, MOTHER, MOUTH, MOUTH, NAME, NAME, NEAR, NIGHT, NIGHT, NINE, NINE, ONE, ONION, OPEN, OPEN, ORPHAN, PATH OR ROAD, PATH OR ROAD, PENIS, PERSON, PESTLE, PICK, PIG, PISS, PULL, RAIN (PRECIPITATION), RED, RED, RIGHT, RIVER, ROOF, ROOT, ROTTEN, RUN, RUN, SAY, SEE, SEVEN, SEVEN, SHARP, SHIT (DEFECATE), SHOE, SHOE, SHORT, SHORT, SHOW, SHOW, SING, SING, SIT, SIT, SIX, SIX, SKIN, SKY, SLEEP, SLEEP, SMOKE, SMOOTH, SMOOTH, SONG, SPIN, SPIRIT, SPRING OR WELL, STAR, STAR, STRIKE OR BEAT, SUN, SWEEP, TAIL, TALK, TEN, TESTICLES, THING, THINK, THORN, THORN, THREE, THREE, TIE, TIE, TONGS, TONGUE, TOUCH, TOUCH, TWENTY, TWENTY, WEEK, WET, WIFE, WIFE, WIND, WOMAN
Dogon:3	0	0	3	0	0	111	10 25 60 91 96 101 114 177 234 287 298 332 420 422 458 476 553 578 639 645 662 696 718 727 730 742 782 834 847 903 955 1064 1079 1108 1124 1135 1142 1241 1449 1457 1483 1493 1511 1525 1526 1560 1592 1674 1742 1803 1806 1808 1819 1970 2017 2019 2058 2252 2283 2289 2297 2328 2357 2366 2452 2480 2501 2532 2539 2589 2624 2715 2722 2728 2732 2773 2778 2856 2863 2928 2944 2964 3015 3068 3133 3226 3228 3335 3348 3409 3411 3416 3467 3496 3694 3727 3834 3876 3880 3905 4072 4095 4174 4211 4221 4229 4263 4275 4277 4312 4401	!GUEST OR STRANGER, AGE, ANSWER, ARRIVE, ASH, ASH, BACK, BEAUTIFUL, BESIDE, BIRD, BITTER, BLANKET, BREAKFAST, BREAKFAST, BROOM, BUILD, CAMEL, CARVE, CHEEK, CHEEK, CHEST, CHILD, CHIN, CHIN, CLOUD, CLOUD, COME BACK, CRY, DEW, DISEASE, DOOR, EAT, EGG, ELBOW, ELEPHANT, EMPTY, EMPTY, FAST, FLY (INSECT), FLY (INSECT), FOAM, FOLD, FOOD, FOOT OR LEG, FOOT OR LEG, FORGET, FRIEND, GO, GOD, GRASS, GRASS, GRASS, HAIR, HORSE, HUSBAND, HUSBAND, IRON, LICK, LIFT, LIFT, LIGHT (WEIGHT), LION, LOOK, LOOK FOR, MARROW, MAT, MEAL, MEDICINE, MILK, MOON, MOUSE, NIGHT, NIGHT, NINE, NINE, NOW, NOW, OPEN, ORPHAN, PESTLE, PESTLE, PISS, PRICE, RAW, ROOF, SAND, SAND, SEW, SHARP, SHORT, SHORT, SHORT, SIMILAR, SIT, SPIN, SPIT, SUN, SWEET, SWEET, SWIM, THROW, TOMORROW, TRAP (PITFALL), TREE, TWENTY, TWO, VAGINA, VILLAGE, VILLAGE, WATER, WIND
Songhai:2	0	0	0	0	2	71	14 33 87 106 202 374 436 496 535 626 773 871 884 1088 1162 1181 1238 1252 1271 1319 1370 1437 1460 1490 1565 1663 1691 1739 1770 1829 1841 1872 1883 1909 2096 2198 2408 2520 2548 2565 2595 2633 2652 2666 2725 2755 2826 2853 2892 2906 2939 3083 3185 3357 3389 3489 3503 3522 3635 3672 3841 3856 3884 3954 3967 4033 4050 4284 4402 4432 4480	!GUEST OR STRANGER, AGE, ARMPIT, ASH, BEGIN, BLOOD, BREAST, BURN (SOMETHING), BUY, CAT, COME, DIE, DIG, EGG, ENTER, EYE, FAR, FAST, FAT (OBESE), FEAR (BE AFRAID), FINGER, FIVE, FLY (INSECT), FOAM, FORGET, GIVE BIRTH, GO DOWN (DESCEND), GOAT, GOLD, HAIR, HAND, HEAD, HEAR, HELP, JOINT, LAUGH, LUNG, MEAT, MILK, MILLET, MOON, MOUSE, MOUTH, NAME, NIGHT, NOBLE, ONE, OPEN, PATH OR ROAD, PENIS, PESTLE, RED, ROUGH, SHARP, SHIT (DEFECATE), SING, SIT, SIX, SNAKE, SONG, SUN, SWALLOW, SWEET, TEN, TESTICLES, THORN, THREE, VILLAGE, WIND, WOMAN, YEAR
Dogon:10	0	0	10	0	0	11	23 1152 1964 2187 2541 2897 3321 3370 3553 4097 4381	AGE, ENTER, HORSE, LAUGH, MILK, PENIS, SEVEN, SHEEP, SLEEP, TOMORROW, WIFE
