PATTERN	Atlantic	Bangime	Dogon	Mande	Songhai	Examples	COGID
Dogon:4 Mande:1	0	0	4	1	0	1	265	BREAKFAST
Mande:2	0	0	0	2	0	6	159 345 1764 1942 2187 2623	BETRAY, BUY, NOBLE, PRICE, SHEEP, THROAT
Dogon:2 Mande:1	0	0	2	1	0	5	22 1504 1611 2369 2767	ANIMAL, LOOK, MEDICINE, SOAP, VILLAGE
Mande:1 Songhai:1	0	0	0	1	1	1	2032	ROOF
Dogon:1	0	0	1	0	0	947	5 6 7 12 13 18 24 25 26 27 28 32 37 38 39 50 51 52 61 62 69 70 71 75 76 77 78 79 85 86 87 88 89 90 91 94 95 96 98 100 109 111 117 120 123 124 130 138 140 141 143 148 149 150 154 156 157 160 168 169 170 171 172 173 180 182 183 184 185 204 208 214 215 218 221 226 227 228 230 239 240 242 251 252 253 263 264 271 273 274 278 279 280 281 282 283 292 299 300 301 304 305 307 325 326 327 328 329 330 331 337 338 355 357 360 361 365 375 376 379 380 383 384 385 390 391 395 396 398 399 400 403 409 411 413 414 415 417 418 419 420 421 429 430 431 432 444 445 451 454 462 463 466 474 475 476 477 478 479 485 486 487 488 501 512 513 514 515 522 523 528 531 535 536 537 551 552 555 564 565 568 569 570 571 572 582 595 599 600 603 606 607 610 611 612 620 623 624 625 626 630 631 632 635 637 638 645 646 647 649 654 655 656 657 660 663 664 666 674 675 677 678 685 688 695 696 697 712 713 717 728 735 736 737 738 739 740 749 751 752 759 760 762 763 764 767 775 790 793 794 795 798 799 802 817 818 819 820 821 828 829 830 831 832 842 843 844 850 859 860 865 867 870 871 872 875 876 878 881 885 895 896 904 912 913 919 920 925 929 930 931 932 933 934 935 936 938 939 940 947 949 953 955 958 959 965 969 970 971 972 973 974 975 976 977 979 980 981 991 992 993 994 996 1008 1011 1014 1018 1019 1031 1032 1033 1034 1035 1038 1039 1041 1047 1048 1056 1057 1058 1059 1068 1076 1077 1085 1091 1100 1108 1109 1110 1112 1114 1121 1126 1128 1129 1140 1143 1144 1153 1158 1159 1160 1161 1162 1164 1177 1178 1179 1189 1191 1199 1200 1201 1206 1207 1208 1212 1220 1221 1223 1224 1225 1226 1233 1234 1235 1236 1244 1245 1246 1247 1248 1249 1250 1264 1271 1272 1273 1274 1275 1276 1277 1284 1287 1290 1296 1297 1299 1300 1302 1303 1305 1312 1313 1314 1315 1320 1321 1322 1326 1334 1335 1337 1338 1339 1343 1346 1347 1348 1349 1353 1361 1364 1365 1366 1367 1372 1377 1378 1379 1380 1388 1397 1399 1400 1405 1416 1417 1418 1426 1428 1434 1441 1446 1447 1448 1449 1450 1460 1461 1464 1465 1466 1471 1473 1474 1475 1476 1479 1483 1486 1488 1489 1496 1499 1502 1508 1509 1510 1511 1512 1513 1514 1517 1522 1523 1530 1535 1540 1541 1542 1543 1549 1552 1553 1555 1556 1563 1572 1577 1578 1588 1589 1590 1596 1597 1599 1602 1619 1625 1639 1640 1643 1644 1647 1654 1655 1656 1657 1659 1665 1667 1673 1675 1680 1681 1682 1683 1684 1685 1686 1698 1699 1708 1709 1710 1715 1716 1719 1720 1729 1730 1731 1740 1744 1747 1748 1752 1753 1756 1766 1768 1769 1770 1771 1772 1773 1788 1789 1790 1799 1800 1801 1803 1809 1818 1819 1820 1821 1823 1824 1829 1832 1833 1834 1835 1840 1841 1842 1843 1844 1848 1849 1853 1861 1862 1863 1864 1866 1870 1871 1874 1877 1882 1883 1884 1885 1886 1887 1888 1889 1890 1891 1892 1894 1901 1904 1912 1913 1914 1915 1924 1925 1926 1927 1930 1943 1950 1951 1960 1962 1963 1964 1970 1975 1978 1980 1986 1987 1990 1993 1999 2000 2001 2004 2005 2006 2008 2009 2015 2017 2018 2020 2021 2026 2027 2029 2034 2036 2037 2038 2039 2040 2045 2046 2049 2050 2051 2052 2055 2061 2063 2064 2076 2077 2079 2085 2087 2093 2094 2097 2098 2099 2102 2107 2108 2116 2117 2118 2119 2120 2121 2122 2123 2126 2130 2131 2133 2134 2144 2145 2161 2167 2168 2169 2170 2171 2172 2180 2181 2182 2183 2185 2190 2191 2192 2194 2195 2196 2205 2208 2209 2220 2221 2222 2223 2224 2229 2235 2236 2238 2245 2246 2247 2248 2249 2250 2263 2265 2266 2267 2268 2272 2288 2289 2290 2292 2293 2294 2296 2311 2313 2314 2315 2319 2321 2322 2325 2326 2328 2329 2330 2331 2332 2333 2334 2335 2344 2346 2348 2350 2359 2361 2363 2364 2365 2373 2374 2375 2377 2378 2382 2388 2389 2392 2399 2400 2401 2403 2404 2409 2410 2411 2412 2419 2420 2421 2422 2425 2429 2430 2431 2432 2434 2435 2437 2440 2445 2447 2448 2449 2450 2459 2460 2462 2463 2469 2471 2472 2473 2474 2478 2479 2480 2481 2482 2483 2484 2489 2490 2492 2501 2502 2511 2512 2513 2514 2515 2518 2524 2532 2533 2536 2537 2539 2540 2543 2546 2555 2556 2559 2560 2562 2568 2575 2580 2584 2594 2595 2598 2601 2604 2606 2614 2615 2616 2625 2626 2628 2629 2630 2631 2636 2637 2638 2640 2650 2655 2656 2658 2665 2666 2667 2668 2669 2677 2685 2691 2701 2702 2703 2706 2711 2713 2714 2715 2717 2721 2724 2742 2743 2748 2749 2750 2755 2757 2760 2761 2762 2769 2770 2774 2780 2781 2782 2783 2784 2786 2787 2789 2795 2796 2802 2806 2807 2809 2812 2818 2819 2820 2825 2829 2830 2848 2849 2850 2851 2852 2853 2860 2861 2870 2878 2882 2893 2894 2895 2897 2899 2900 2907 2908 2915 2917 2918	!GUEST OR STRANGER, !GUEST OR STRANGER, !GUEST OR STRANGER, !GUEST OR STRANGER, !GUEST OR STRANGER, AGE, ANIMAL, ANIMAL, ANIMAL, ANIMAL, ANIMAL, ANIMAL, ANSWER, ANSWER, ANSWER, ARRIVE, ARRIVE, ARRIVE, ASH, ASH, BACK, BACK, BACK, BAD, BAD, BAD, BAD, BAD, BARK, BARK, BARK, BARK, BARK, BARK, BARK, BARK, BARK, BARK, BARK, BARK, BEARD, BEARD, BEAUTIFUL, BEAUTIFUL, BEAUTIFUL, BEAUTIFUL, BEGIN, BELLY, BELLY, BELLY, BELLY, BESIDE, BESIDE, BESIDE, BESIDE, BESIDE, BESIDE, BETRAY, BIG, BIG, BIG, BIG, BIG, BIG, BIRD, BIRD, BIRD, BIRD, BIRD, BLACKSMITH, BLACKSMITH, BLANKET, BLANKET, BLANKET, BLANKET, BLINK, BLINK, BLINK, BLINK, BLOOD, BLOOD, BLOOD, BODY, BODY, BODY, BONE, BONE, BREAKFAST, BREAKFAST, BREAKFAST, BREAST, BREAST, BREAST, BREAST, BREAST, BREAST, BREATHE, BROOM, BROOM, BROOM, BROOM, BROOM, BROOM, BURN (SOMETHING), BURN (SOMETHING), BURN (SOMETHING), BURN (SOMETHING), BURN (SOMETHING), BURN (SOMETHING), BURN (SOMETHING), BURY, BURY, CALL, CALL, CAMEL, CAMEL, CAMEL, CARVE, CARVE, CARVE, CARVE, CASSAVA, CASSAVA, CASSAVA, CAT, CAT, CAT, CAT, CAVE, CAVE, CAVE, CAVE, CHEEK, CHEEK, CHEEK, CHEEK, CHEEK, CHEEK, CHEEK, CHEEK, CHEEK, CHEEK, CHEST, CHEST, CHEST, CHEST, CHIEFTAIN, CHIEFTAIN, CHILD, CHILD, CHIN, CHIN, CHIN, CLOUD, CLOUD, CLOUD, CLOUD, CLOUD, CLOUD, COLD, COLD, COLD, COLD, COME, COME BACK, COME BACK, COME BACK, COME BACK, COTTON, COTTON, COUNT, COUNT, COUNTRY, COUNTRY, COUNTRY, CRY, CRY, CRY, DEW, DEW, DEW, DEW, DEW, DEW, DEW, DIE, DISEASE, DISEASE, DISEASE, DISEASE, DIVIDE, DIVIDE, DIVIDE, DIVIDE, DIVIDE, DOG, DOG, DOG, DOG, DOG, DONKEY, DONKEY, DONKEY, DONKEY, DONKEY, DONKEY, DOOR, DOOR, DOOR, DOOR, DOVE, DOVE, DOVE, DOVE, DOVE, DOVE, DOVE, DRINK, DRIP (FALL IN GLOBULES), DRIP (FALL IN GLOBULES), DRIP (FALL IN GLOBULES), DRIP (FALL IN GLOBULES), DRY, DRY, DUST, DUST, DUST, EAT, EAT, EAT, EIGHT, ELBOW, ELBOW, ELBOW, ELBOW, ELBOW, ELBOW, ELEPHANT, ELEPHANT, ELEPHANT, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, ENTER, FACE, FALL, FALL, FALL, FALL, FALL, FALL, FAST, FAST, FAST, FAST, FAST, FAT (OBESE), FAT (OBESE), FAT (OBESE), FAT (OBESE), FAT (OBESE), FAT (ORGANIC SUBSTANCE), FAT (ORGANIC SUBSTANCE), FAT (ORGANIC SUBSTANCE), FATHER, FEAR (BE AFRAID), FEAR (BE AFRAID), FIGHT, FIGHT, FIGHT, FIGHT, FIGHT, FIND, FIND, FIND, FIND, FINGER, FIRE, FIRE, FIREWOOD, FISH, FISH, FIVE, FIVE, FLOWER, FLY (INSECT), FLY (INSECT), FLY (INSECT), FLY (INSECT), FLY (INSECT), FLY (INSECT), FLY (INSECT), FLY (INSECT), FLY (INSECT), FLY (INSECT), FLY (INSECT), FLY (MOVE THROUGH AIR), FLY (MOVE THROUGH AIR), FOAM, FOAM, FOAM, FOAM, FOLD, FOOD, FOOD, FOOD, FOOD, FOOD, FOOD, FOOD, FOOD, FOOD, FOOD, FOOD, FOOD, FOOT OR LEG, FOOT OR LEG, FOOT OR LEG, FOOT OR LEG, FOOT OR LEG, FORGET, FORGET, FORGET, FORGIVE, FORGIVE, FRIEND, FRIEND, FRIEND, FRIEND, FRIEND, FRIEND, FRIEND, FRIEND, FULL, FULL, GET, GET, GET, GET, GIVE, GIVE BIRTH, GIVE BIRTH, GO, GO DOWN (DESCEND), GO OUT, GO UP (ASCEND), GO UP (ASCEND), GO UP (ASCEND), GO UP (ASCEND), GO UP (ASCEND), GOAT, GOD, GOD, GOD, GOOD, GOOD, GOOD, GRANDFATHER, GRASS, GRASS, GRASS, GRASS, GRASS, GRASS, HAND, HAND, HAND, HANG UP, HANG UP, HEAD, HEAD, HEAD, HEAVY, HEAVY, HEAVY, HEAVY, HIDE (CONCEAL), HIDE (CONCEAL), HIDE (CONCEAL), HIDE (CONCEAL), HIDE (CONCEAL), HIDE (CONCEAL), HIP, HIP, HIP, HIP, HONEY, HONEY, HONEY, HONEY, HONEY, HONEY, HONEY, HORSE, HOST, HOST, HOST, HOST, HOST, HOST, HOST, HOT, HOT, HOT, HUNDRED, HUNDRED, HUNT, HUNT, HUNT, HUNT, HUNT, HUSBAND, HUSBAND, HUSBAND, HUSBAND, INJURE, INJURE, INJURE, INJURE, IRON, IRON, IRON, IRON, IRON, JAW, JAW, JAW, JAW, JAW, JOINT, KILL, KNEE, KNEE, KNEE, KNEE, KNEE, KNEEL, KNEEL, KNEEL, KNEEL, KNIFE, LADDER, LADDER, LADDER, LAUGH, LEAF, LEAF, LEAF, LEAVE, LEAVE, LEFT, LICK, LIE DOWN, LIE DOWN, LIE DOWN, LIE DOWN, LIE DOWN, LIFT, LIFT, LIFT, LIFT, LIFT, LIGHT (WEIGHT), LIGHT (WEIGHT), LIGHT (WEIGHT), LIGHT (WEIGHT), LIGHT (WEIGHT), LIGHT (WEIGHT), LIMP, LIMP, LIMP, LIMP, LION, LION, LION, LOOK, LOOK, LOOK, LOOK, LOOK, LOOK, LOOK, LOOK, LOOK FOR, LOOK FOR, LOOK FOR, LOUSE, LUNG, LUNG, LUNG, LUNG, MAIZE, MAIZE, MAIZE, MAIZE, MAIZE, MAN, MARKET, MARROW, MARROW, MAT, MAT, MAT, MEAL, MEAL, MEAL, MEAL, MEDICINE, MILK, MONEY, MONEY, MONEY, MONEY, MONEY, MOON, MOON, MOON, MOON, MOON, MOSQUE, MOSQUE, MOTHER, MOTHER, MOUSE, MOUSE, MOUSE, MOUSE, MOUSE, MOUSE, MOUSE, MOUTH, MOUTH, NAME, NAME, NAME, NEAR, NEAR, NEAR, NEAR, NECK, NECK, NECK, NIGHT, NIGHT, NIGHT, NIGHT, NINE, NINE, NINE, NOBLE, NOBLE, NOBLE, NOBLE, NOBLE, NOBLE, NOBLE, NOW, NOW, NOW, OLD, OLD, OLD, OLD, ONE, ONION, ONION, ONION, ONION, ONION, ONION, OPEN, OPEN, OPEN, OPEN, OPEN, ORPHAN, ORPHAN, ORPHAN, ORPHAN, ORPHAN, ORPHAN, ORPHAN, PATH OR ROAD, PENIS, PENIS, PENIS, PENIS, PENIS, PERSON, PERSON, PERSON, PERSON, PESTLE, PESTLE, PESTLE, PESTLE, PESTLE, PESTLE, PESTLE, PESTLE, PESTLE, PESTLE, PESTLE, PESTLE, PICK, PICK, PISS, PISS, PISS, PISS, PLACE (POSITION), PLACE (POSITION), PLACE (POSITION), PLACE (POSITION), PLACE (POSITION), PRICE, PULL, PULL, PUMPKIN, PUMPKIN, PUMPKIN, PUMPKIN, PUSH, RAIN (PRECIPITATION), RAIN (PRECIPITATION), RAIN (PRECIPITATION), RAW, RAW, RAW, RED, RIB, RIB, RIB, RIB, RIB, RIB, RIB, RIB, RIGHT, RIGHT, RIGHT, RIGHT, RIGHT, RIVER, RIVER, RIVER, ROOF, ROOF, ROOF, ROOF, ROOF, ROOF, ROOT, ROOT, ROOT, ROOT, ROOT, ROOT, ROOT, ROTTEN, ROTTEN, ROTTEN, RUN, RUN, RUN, SALT, SALT, SAND, SAND, SAND, SAND, SAND, SAND, SAY, SAY, SCALE, SCALE, SCALE, SCALE, SCALE, SCALE, SCALE, SCALE, SCALE, SEE, SEE, SEE, SEE, SELL, SELL, SEVEN, SEW, SEW, SEW, SEW, SEW, SEW, SHARP, SHARP, SHARP, SHARP, SHARP, SHEEP, SHEEP, SHEEP, SHEEP, SHEEP, SHEEP, SHIT (DEFECATE), SHOE, SHOE, SHORT, SHORT, SHORT, SHORT, SHORT, SHOW, SICKLE OR SCYTHE, SICKLE OR SCYTHE, SICKLE OR SCYTHE, SIMILAR, SIMILAR, SIMILAR, SIMILAR, SIMILAR, SIMILAR, SIT, SIT, SIT, SIT, SIT, SIT, SKY, SKY, SKY, SKY, SKY, SKY, SKY, SLEEP, SLEEP, SLEEP, SLEEP, SLIP, SLIP, SLIP, SMALL, SMALL, SMALL, SMALL, SMALL, SMALL, SMALL, SMALL, SMALL, SMALL, SMOOTH, SMOOTH, SMOOTH, SMOOTH, SNAKE, SNAKE, SNAKE, SNAKE, SNAKE, SOAP, SOAP, SOAP, SOAP, SOAP, SONG, SPEAR, SPEAR, SPEAR, SPIN, SPIN, SPIN, SPIN, SPIN, SPIRIT, SPIRIT, SPIRIT, SPIRIT, SPIT, SPIT, SPIT, SPIT, SPIT, SPRING OR WELL, SPRING OR WELL, SPRING OR WELL, SPRING OR WELL, SPRING OR WELL, SPRING OR WELL, SPRING OR WELL, SPRING OR WELL, STAR, STAR, STAR, STAR, STAR, STEAL, STEAL, STEAL, STEAL, STOMACH, STOMACH, STOMACH, STOMACH, STOMACH, STRIKE OR BEAT, STRIKE OR BEAT, STRIKE OR BEAT, STRIKE OR BEAT, STRIKE OR BEAT, STRIKE OR BEAT, STRIKE OR BEAT, SUCK, SUCK, SUCK, SUN, SUN, SWEEP, SWEEP, SWEEP, SWEEP, SWEEP, SWEEP, SWEET, SWIM, SWIM, SWIM, SWIM, SWIM, SWIM, TAIL, TAIL, TALK, TALK, TALK, TALK, TALK, TEN, TESTICLES, THIGH, THIGH, THING, THING, THINK, THINK, THINK, THINK, THORN, THORN, THORN, THROAT, THROAT, THROAT, THROAT, THROAT, THROAT, THROW, THROW, THROW, THROW, TIE, TOMORROW, TOMORROW, TOMORROW, TONGS, TONGS, TONGS, TONGS, TONGS, TONGUE, TOOTH, TOUCH, TRAP (PITFALL), TRAP (PITFALL), TRAP (PITFALL), TRAP (PITFALL), TRAVERSE, TRAVERSE, TRAVERSE, TRAVERSE, TRAVERSE, TREE, TREE, TWO, TWO, URINE, URINE, URINE, VAGINA, VAGINA, VAGINA, VAGINA, VAGINA, VILLAGE, VILLAGE, VILLAGE, WALL (OF HOUSE), WALL (OF HOUSE), WALL (OF HOUSE), WALL (OF HOUSE), WALL (OF HOUSE), WALL (OF HOUSE), WALL (OF HOUSE), WALL (OF HOUSE), WATER, WATER, WEAVE, WEEK, WEEK, WEEK, WEEK, WET, WET, WET, WET, WHITE, WHITE, WIND, WIND, WIND, WIND, WIND, WIND, WING, WING, WOMAN, WOOD, WORK (LABOUR), WRAPPER, WRAPPER, WRAPPER, WRAPPER, WRAPPER, WRAPPER, YEAR, YEAR, YELLOW, YELLOW, YELLOW
Atlantic:1 Songhai:1	1	0	0	0	1	2	1959 2024	PUMPKIN, RIVER
Bangime:1 Mande:1	0	1	0	1	0	4	107 359 441 1907	BEARD, CAMEL, CHIEFTAIN, PIG
Dogon:5	0	0	5	0	0	45	1 55 446 458 469 480 494 541 584 617 719 791 811 824 837 863 883 899 1183 1306 1356 1402 1409 1574 1593 1620 1621 1701 1702 1806 1867 1947 2066 2253 2341 2342 2415 2644 2727 2736 2764 2814 2865 2875 2889	!GUEST OR STRANGER, ASH, CHILD, CHIN, CLOUD, COLD, COME, COW, DIG, DOG, EGG, FALL, FAST, FAT (OBESE), FAT (ORGANIC SUBSTANCE), FIGHT, FINGER, FIREWOOD, HANG UP, HUSBAND, KILL, LAUGH, LEAF, MARROW, MEAL, MILK, MILK, NAME, NAME, ONE, PERSON, PULL, ROUGH, SING, SMOOTH, SMOOTH, SPIT, TIE, TWENTY, TWO, VILLAGE, WET, WOMAN, WOOD, WRAPPER
Dogon:9 Songhai:1	0	0	9	0	1	2	906 2011	FISH, RIGHT
Bangime:1 Dogon:2	0	1	2	0	0	8	57 267 1155 2073 2216 2301 2663 2689	ASH, BREAKFAST, GRASS, RUN, SHORT, SLAVE, TONGS, TOUCH
Dogon:11	0	0	11	0	0	17	41 196 256 341 718 770 943 1193 1260 1298 1373 2153 2252 2407 2578 2687 2708	ARMPIT, BITTER, BONE, BUY, EGG, ENTER, FLY (MOVE THROUGH AIR), HEAD, HORSE, HUNT, KNEEL, SEVEN, SING, SPIRIT, THIGH, TOUCH, TRAVERSE
Dogon:16	0	0	16	0	0	4	778 805 1791 2337	EYE, FAR, NURSE, SMOKE
Dogon:4 Songhai:1	0	0	4	0	1	1	2621	THROAT
Bangime:1 Dogon:2 Songhai:1	0	1	2	0	1	1	422	CHEST
Bangime:1 Mande:2	0	1	0	2	0	1	864	FIGHT
Bangime:1 Dogon:2 Mande:1	0	1	2	1	0	1	2775	WALL (OF HOUSE)
Dogon:6 Mande:1 Songhai:2	0	0	6	1	2	2	1015 1668	FORGIVE, MOTHER
Bangime:1 Dogon:13	0	1	13	0	0	2	1213 2486	HELP, SUCK
Dogon:6 Songhai:1	0	0	6	0	1	4	744 1021 2233 2854	ELEPHANT, FOUR, SICKLE OR SCYTHE, WING
Bangime:1 Dogon:6	0	1	6	0	0	2	1898 2571	PICK, TESTICLES
Dogon:2	0	0	2	0	0	223	17 48 58 60 74 84 105 106 108 129 146 147 165 166 176 177 190 191 203 212 213 225 237 238 247 249 276 298 313 314 323 344 351 407 424 425 426 442 448 449 450 460 461 472 482 483 498 525 533 534 547 548 549 560 561 562 563 577 585 591 592 593 629 642 652 692 693 694 733 746 755 757 758 772 815 827 838 849 892 945 952 967 1027 1028 1045 1046 1065 1066 1083 1104 1105 1156 1157 1186 1195 1205 1215 1230 1232 1242 1270 1280 1281 1282 1283 1383 1410 1421 1431 1443 1445 1457 1458 1505 1520 1521 1533 1546 1560 1576 1583 1585 1595 1612 1613 1614 1615 1624 1631 1633 1653 1663 1677 1678 1692 1694 1713 1725 1726 1738 1763 1765 1784 1785 1808 1838 1839 1880 1881 1908 1941 1949 1974 2012 2023 2043 2083 2092 2114 2115 2129 2141 2142 2150 2154 2155 2163 2165 2178 2188 2201 2218 2279 2287 2343 2353 2355 2356 2357 2358 2387 2397 2398 2428 2455 2466 2497 2498 2520 2521 2523 2530 2531 2552 2553 2554 2590 2597 2610 2645 2654 2664 2688 2698 2699 2700 2719 2729 2737 2738 2754 2776 2777 2779 2793 2816 2836 2843 2856 2857 2868 2891 2905	AGE, ARRIVE, ASH, ASH, BAD, BARK, BEARD, BEARD, BEARD, BEGIN, BESIDE, BESIDE, BIG, BIG, BIRD, BIRD, BITE, BITE, BLACKSMITH, BLANKET, BLANKET, BLINK, BLOOD, BLOOD, BODY, BODY, BREAST, BROOM, BUILD, BUILD, BURN (SOMETHING), BUY, CALL, CHEEK, CHEST, CHEST, CHEST, CHIEFTAIN, CHILD, CHILD, CHILD, CHIN, CHIN, CLOUD, COLD, COLD, COME, COUNT, COUNTRY, COUNTRY, CRY, CRY, CRY, DEW, DEW, DEW, DEW, DIE, DIG, DISEASE, DISEASE, DISEASE, DONKEY, DOOR, DOVE, DUST, DUST, DUST, ELBOW, ELEPHANT, EMPTY, EMPTY, EMPTY, ENTER, FAST, FAT (OBESE), FAT (ORGANIC SUBSTANCE), FATHER, FIRE, FLY (MOVE THROUGH AIR), FOAM, FOOD, FRIEND, FRIEND, FULL, FULL, GIVE, GIVE, GO, GO UP (ASCEND), GO UP (ASCEND), GRASS, GRASS, HANG UP, HEAD, HEAVY, HELP, HIP, HIP, HONEY, HOST, HOT, HOT, HOT, HOT, KNIFE, LEAF, LEAVE, LEFT, LIE DOWN, LIE DOWN, LIFT, LIFT, LOOK, LOOK FOR, LOOK FOR, LOUSE, MAIZE, MAN, MARROW, MAT, MAT, MEAL, MEDICINE, MEDICINE, MEDICINE, MEDICINE, MILK, MILLET, MILLET, MOON, MOSQUE, MOUSE, MOUSE, MOUTH, MOUTH, NEAR, NECK, NECK, NIGHT, NOBLE, NOBLE, NOW, NOW, ONE, ORPHAN, ORPHAN, PESTLE, PESTLE, PIG, PRICE, PULL, RAIN (PRECIPITATION), RIGHT, RIVER, ROOT, SALT, SAND, SCALE, SCALE, SEE, SELL, SELL, SEND, SEVEN, SEVEN, SEW, SEW, SHARP, SHEEP, SHIT (DEFECATE), SHORT, SKIN, SKY, SMOOTH, SNAKE, SNAKE, SNAKE, SNAKE, SNAKE, SPEAR, SPIN, SPIN, SPRING OR WELL, STEAL, STOMACH, SUN, SUN, SWEET, SWEET, SWEET, SWIM, SWIM, TALK, TALK, TALK, THING, THINK, THORN, TIE, TOMORROW, TONGS, TOUCH, TRAP (PITFALL), TRAP (PITFALL), TRAP (PITFALL), TREE, TWENTY, TWO, TWO, VAGINA, WALL (OF HOUSE), WALL (OF HOUSE), WALL (OF HOUSE), WATER, WET, WIFE, WIND, WING, WING, WOMAN, WRAPPER, YEAR
Dogon:3 Songhai:1	0	0	3	0	1	1	224	BLINK
Bangime:1 Dogon:12	0	1	12	0	0	3	1538 2379 2805	LUNG, SONG, WEEK
Dogon:9	0	0	9	0	0	23	72 113 188 246 524 574 701 725 784 1136 1381 1391 1629 1712 1796 1857 1905 2065 2198 2508 2680 2874 2902	BAD, BEAUTIFUL, BITE, BODY, COUNT, DIE, EAR, EIGHT, FACE, GOOD, KNIFE, LADDER, MILLET, NEAR, OLD, PENIS, PIG, ROUGH, SHIT (DEFECATE), SWEEP, TOOTH, WOOD, YEAR
Dogon:10	0	0	10	0	0	9	14 64 334 433 882 898 961 1825 1958	AGE, BACK, BURY, CHICKEN, FINGER, FIREWOOD, FOLD, OPEN, PUMPKIN
Dogon:2 Mande:1 Songhai:1	0	0	2	1	1	1	1780	NOW
Dogon:5 Songhai:1	0	0	5	0	1	1	1043	FULL
Dogon:6	0	0	6	0	0	42	125 223 234 367 370 504 546 590 616 640 690 785 836 862 889 1062 1073 1147 1217 1408 1468 1518 1532 1581 1650 1690 1736 1899 2041 2057 2105 2162 2368 2396 2453 2572 2643 2662 2681 2726 2790 2835	BEGIN, BLINK, BLOOD, CARRY ON HEAD, CARVE, COME BACK, CRY, DISEASE, DOG, DOOR, DUST, FACE, FAT (ORGANIC SUBSTANCE), FIGHT, FIRE, GIVE, GIVE BIRTH, GRANDFATHER, HIDE (CONCEAL), LEAF, LIGHT (WEIGHT), LOOK FOR, LOUSE, MAT, MOON, MOUTH, NIGHT, PICK, ROOT, ROTTEN, SAY, SEW, SOAP, SPIN, STEAL, TESTICLES, TIE, TONGS, TOOTH, TWENTY, WATER, WIFE
Atlantic:1 Dogon:4	1	0	4	0	0	1	1761	NOBLE
Bangime:1 Dogon:4	0	1	4	0	0	4	2323 2442 2551 2587	SMALL, STAR, TALK, THING
Dogon:4	0	0	4	0	0	81	34 42 103 104 126 289 290 296 297 312 321 335 349 387 406 434 495 517 575 605 727 745 825 852 853 907 926 951 962 986 1000 1117 1118 1184 1228 1229 1240 1268 1279 1307 1319 1363 1420 1455 1482 1493 1503 1559 1594 1669 1676 1691 1868 1906 1911 1921 1922 1935 1940 1948 2072 2149 2241 2242 2259 2285 2306 2443 2454 2475 2476 2493 2588 2589 2608 2622 2696 2855 2866 2867 2912	ANSWER, ARMPIT, BEARD, BEARD, BEGIN, BREATHE, BREATHE, BROOM, BROOM, BUILD, BURN (SOMETHING), BURY, CALL, CAT, CHEEK, CHICKEN, COME, COTTON, DIE, DIVIDE, EIGHT, ELEPHANT, FAT (OBESE), FEAR (BE AFRAID), FEAR (BE AFRAID), FISH, FLY (INSECT), FOAM, FOLD, FOOT OR LEG, FOREHEAD, GOAT, GOAT, HANG UP, HIP, HIP, HONEY, HOST, HOT, HUSBAND, INJURE, KNEE, LEAVE, LIFT, LIMP, LION, LOOK, MAN, MEAL, MOTHER, MOUSE, MOUTH, PERSON, PIG, PISS, PLACE (POSITION), PLACE (POSITION), POCKET, PRICE, PULL, RUN, SEND, SIMILAR, SIMILAR, SIT, SKY, SLEEP, STAR, STEAL, STRIKE OR BEAT, STRIKE OR BEAT, SUN, THING, THING, THORN, THROAT, TRAP (PITFALL), WING, WOMAN, WOMAN, YELLOW
Bangime:1 Dogon:6 Mande:1	0	1	6	1	0	2	950 1531	FOAM, LOUSE
Dogon:9 Mande:1	0	0	9	1	0	1	2128	SEE
Dogon:11 Mande:1	0	0	11	1	0	1	2879	WORK (LABOUR)
Atlantic:1 Dogon:9	1	0	9	0	0	1	1020	FOUR
Bangime:1 Dogon:15 Mande:1	0	1	15	1	0	1	1732	NEW
Bangime:1 Songhai:2	0	1	0	0	2	1	1374	KNEEL
Bangime:1 Dogon:11 Mande:1	0	1	11	1	0	1	540	COW
Dogon:3 Mande:2	0	0	3	2	0	1	2791	WATER
Dogon:8 Mande:2 Songhai:1	0	0	8	2	1	1	1934	POCKET
Dogon:14 Mande:1 Songhai:1	0	0	14	1	1	1	2300	SLAVE
Dogon:7 Mande:1	0	0	7	1	0	2	2744 2800	URINE, WEAVE
Bangime:1 Songhai:1	0	1	0	0	1	1	874	FIND
Dogon:10 Songhai:1	0	0	10	0	1	1	708	EAT
Atlantic:1 Bangime:1 Dogon:11 Mande:2 Songhai:2	1	1	11	2	2	1	382	CASSAVA
Dogon:6 Mande:1	0	0	6	1	0	1	1006	FORGET
Dogon:1 Songhai:1	0	0	1	0	1	10	643 756 963 968 989 1432 1783 1815 2025 2913	DOOR, EMPTY, FOLD, FOOD, FOOT OR LEG, LEFT, NOW, ONION, RIVER, YELLOW
Atlantic:1 Bangime:1 Dogon:13 Mande:1	1	1	13	1	0	1	1132	GOLD
Dogon:12	0	0	12	0	0	11	202 397 673 873 999 1052 2081 2206 2316 2564 2718	BLACKSMITH, CAVE, DRIP (FALL IN GLOBULES), FIND, FOREHEAD, GET, SALT, SHOE, SLIP, TEN, TREE
Bangime:1 Dogon:8	0	1	8	0	0	2	1016 1805	FORGIVE, ONE
Atlantic:1 Dogon:2 Mande:1	1	0	2	1	0	1	1812	ONION
Bangime:1 Dogon:2 Mande:2	0	1	2	2	0	1	726	EIGHT
