PATTERN	Atlantic	Bangime	Dogon	Mande	Songhai	Examples	COGID
Dogon:14	0	0	14	0	0	5	914 1566 1991 2278 2542	FIVE, MARKET, RED, SKIN, TAIL
Atlantic:1 Bangime:1 Dogon:12	1	1	12	0	0	1	1430	LEFT
Bangime:1 Dogon:5	0	1	5	0	0	2	1318 2175	INJURE, SHARP
Dogon:11 Songhai:2	0	0	11	0	2	1	47	ARRIVE
Bangime:1 Dogon:3	0	1	3	0	0	4	348 1341 2607 2880	CALL, JAW, THORN, WORK (LABOUR)
Bangime:1 Dogon:12 Mande:1	0	1	12	1	0	1	847	FATHER
Dogon:3 Songhai:2	0	0	3	0	2	1	890	FIRE
Dogon:1 Mande:1	0	0	1	1	0	5	813 1263 2042 2370 2465	FAST, HORSE, ROOT, SOAP, STOMACH
Atlantic:1 Bangime:1 Dogon:11 Mande:1 Songhai:1	1	1	11	1	1	1	1293	HUNDRED
Mande:1 Songhai:2	0	0	0	1	2	4	163 1204 1724 1776	BIG, HEAVY, NECK, NOSE
Dogon:1 Songhai:2	0	0	1	0	2	9	559 691 848 1567 1836 2215 2324 2509 2697	DEW, DUST, FATHER, MARKET, ORPHAN, SHORT, SMALL, SWEEP, TRAP (PITFALL)
Bangime:1 Dogon:1	0	1	1	0	0	6	199 1219 1547 2408 2477 2827	BITTER, HIDE (CONCEAL), MAIZE, SPIRIT, STRIKE OR BEAT, WHITE
Bangime:1 Mande:1 Songhai:2	0	1	0	1	2	2	470 944	CLOUD, FLY (MOVE THROUGH AIR)
