ID,Phylum,Family,SubGroup,Name,Glottocode,Latitude,Longitude,Village,Source
1,,Bangime,Bangime,Bangime,bang1363,14.8,-3.76,Bounou,Hantgan2016
2,Niger-Congo,Mande,Central_Mande,Bambara,bamb1269,14.53,-4.1,Sevare,Dumestre2011
3,Niger-Congo,Dogon,Eastern_Dogon,Bankan_Tey,bank1259,15.07,-2.91,Oualo,Heath2015
4,Niger-Congo,Dogon,Eastern_Dogon,Ben_Tey,bent1238,14.85,-2.95,Beni,Heath2015
5,Niger-Congo,Dogon,Western_Dogon,Bunoge,buno1241,14.65,-3.79,Boudou,Heath2015
6,Niger-Congo,Dogon,Eastern_Dogon,Jamsay,jams1239,14.64,-3.1,Bamba,Heath2015
7,Niger-Congo,Dogon,Western_Dogon,Mombo,momb1254,14.51,-3.91,Bandiougou,Heath2015
8,Niger-Congo,Dogon,Western_Dogon,Najamba,bond1248,14.9,-3.42,Dogani,Heath2015
9,Niger-Congo,Dogon,Eastern_Dogon,Nanga,nang1261,14.72,-3.02,Namakoro,Heath2015
10,Niger-Congo,Dogon,Eastern_Dogon,Perge_Tegu,perg1234,14.85,-3.02,Pergue,Heath2015
11,Niger-Congo,Dogon,Eastern_Dogon,Tebul_Ure,tebu1239,14.69,-3.11,Mande,Heath2015
12,Niger-Congo,Dogon,Western_Dogon,Tiranige_Diga,tira1258,14.8,-3.72,Damagari,Heath2015
13,Niger-Congo,Dogon,Eastern_Dogon,Togo_Kan,togo1254,14.16,-3.38,Benie,Heath2015
14,Niger-Congo,Dogon,Eastern_Dogon,Tommo_So,tomm1242,14.67,-3.51,Kendie,Heath2015
15,Niger-Congo,Dogon,Eastern_Dogon,Toro_Tegu,toro1253,15.01,-2.4,Nemguene,Heath2015
16,Niger-Congo,Dogon,Eastern_Dogon,Yanda_Dom,yand1257,14.63,-3.15,Yanda,Heath2015
17,Niger-Congo,Dogon,Eastern_Dogon,Yorno_So,yorn1234,14.56,-3.24,Yendouma,Heath2015
18,Niger-Congo,Atlantic,Fula_Maasina,Fulfulde,maas1239,14.8,-3.84,Ouro-Ngeou,Osborn1993
19,Niger-Congo,Mande,Northwestern_Mande,Jenaama,jena1242,14.79,-3.78,Madougou,Heath2016jenaama
20,Niger-Congo,Dogon,Western_Dogon,Penange,pena1270,14.39,-4.03,Pinia,Heath2015
21,Nilo-Saharan,Songhay,Eastern_Songhay,Songhai_Kiini,koyr1240,15.21,-2.75,Kikara,Heath2005
22,Nilo-Saharan,Songhay,Eastern_Songhay,Songhai_Senni,humb1243,15.28,-1.7,Hombori,HeathSONG2015
