ID,Number,Gloss,Concepticon_ID,Concepticon_Gloss
1,1,GUEST OR STRANGER,2908,GUEST OR STRANGER
2,2,AGE,1789,AGE
3,3,ANIMAL,619,ANIMAL
4,4,ANSWER,1275,ANSWER
5,5,ARMPIT,1886,ARMPIT
6,6,ARRIVE,1387,ARRIVE
7,7,ASH,646,ASH
8,8,BACK,1291,BACK
9,9,BAD,1292,BAD
10,10,BARK,1204,BARK
11,11,BEARD,678,BEARD
12,12,BEAUTIFUL,1427,BEAUTIFUL
13,13,BEGIN,1806,BEGIN
14,14,BELLY,1251,BELLY
15,15,BESIDE,1816,BESIDE
16,16,BETRAY,1902,BETRAY
17,17,BIG,1202,BIG
18,18,BIRD,937,BIRD
19,19,BITE,1403,BITE
20,20,BITTER,887,BITTER
21,21,BLACKSMITH,1001,BLACKSMITH
22,22,BLANKET,806,BLANKET
23,23,BLINK,1655,BLINK
24,24,BLOOD,946,BLOOD
25,25,BODY,1480,BODY
26,26,BONE,1394,BONE
27,27,BREAKFAST,1322,BREAKFAST
28,28,BREAST,1402,BREAST
29,29,BREATHE,1407,BREATHE
30,30,BROOM,245,BROOM
31,31,BUILD,1840,BUILD
32,32,BURN (SOMETHING),141,BURN (SOMETHING)
33,33,BURY,1719,BURY
34,34,BUY,1869,BUY
35,35,CALL,1084,CALL
36,36,CAMEL,1871,CAMEL
37,37,CARRY ON HEAD,414,CARRY ON HEAD
38,38,CARVE,228,CARVE
39,39,CASSAVA,925,CASSAVA
40,40,CAT,1208,CAT
41,41,CAVE,1155,CAVE
42,42,CHEEK,1730,CHEEK
43,43,CHEST,1592,CHEST
44,44,CHICKEN,1318,CHICKEN
45,45,CHIEFTAIN,301,CHIEFTAIN
46,46,CHILD,2099,CHILD
47,47,CHIN,1510,CHIN
48,48,CLOUD,1489,CLOUD
49,49,COLD,1287,COLD
50,50,COME,1446,COME
51,51,COME BACK,581,COME BACK
52,52,COTTON,1850,COTTON
53,53,COUNT,1420,COUNT
54,54,COUNTRY,1300,COUNTRY
55,55,COW,1007,COW
56,56,CRY,1839,CRY
57,57,DEW,1977,DEW
58,58,DIE,1494,DIE
59,59,DIG,1418,DIG
60,60,DISEASE,1986,DISEASE
61,61,DIVIDE,1119,DIVIDE
62,62,DOG,2009,DOG
63,63,DONKEY,1862,DONKEY
64,64,DOOR,1567,DOOR
65,65,DOVE,1853,DOVE
66,66,DRINK,1401,DRINK
67,67,DRIP (FALL IN GLOBULES),808,DRIP (FALL IN GLOBULES)
68,68,DRY,1398,DRY
69,69,DUST,2,DUST
70,70,EAR,1247,EAR
71,71,EAT,1336,EAT
72,72,EGG,744,EGG
73,73,EIGHT,1705,EIGHT
74,74,ELBOW,981,ELBOW
75,75,ELEPHANT,1290,ELEPHANT
76,76,EMPTY,1624,EMPTY
77,77,ENTER,749,ENTER
78,78,EYE,1248,EYE
79,79,FACE,1560,FACE
80,80,FALL,1280,FALL
81,81,FAR,1406,FAR
82,82,FAST,1631,FAST
83,83,FAT (OBESE),1279,FAT (OBESE)
84,84,FAT (ORGANIC SUBSTANCE),323,FAT (ORGANIC SUBSTANCE)
85,85,FATHER,1217,FATHER
86,86,FEAR (BE AFRAID),1419,FEAR (BE AFRAID)
87,87,FIGHT,1423,FIGHT
88,88,FIND,719,FIND
89,89,FINGER,1303,FINGER
90,90,FIRE,221,FIRE
91,91,FIREWOOD,10,FIREWOOD
92,92,FISH,227,FISH
93,93,FIVE,493,FIVE
94,94,FLOWER,239,FLOWER
95,95,FLY (INSECT),1504,FLY (INSECT)
96,96,FLY (MOVE THROUGH AIR),1441,FLY (MOVE THROUGH AIR)
97,97,FOAM,1768,FOAM
98,98,FOLD,1470,FOLD
99,99,FOOD,256,FOOD
100,100,FOOT OR LEG,2098,FOOT OR LEG
101,101,FOREHEAD,123,FOREHEAD
102,102,FORGET,1523,FORGET
103,103,FORGIVE,1528,FORGIVE
104,104,FOUR,1500,FOUR
105,105,FRIEND,1325,FRIEND
106,106,FULL,1429,FULL
107,107,GET,694,GET
108,108,GIVE,1447,GIVE
